Batch Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2017 18:42,858,P 98,Glen Wright,11_10,11/14/2017 10:40,11/14/2017 18:42,#28 Pro 98 Lemons,28,858,Disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Dark Yellow,Yellow,Light Yellow,Light Green,Green,Dark Green,Scar,Start of Batch,Conveyor,Texture,Smoothness,Roundness,Vertical Diameter Stability,Stem Area,Curvature,Flatness,Lemon (Dark Yellow +),2nd Color Variation (Dark Yellow +),Major Diameter (mm),Minor Diameter (mm),Volume (ml),Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
11/14/2017 18:42,465,1,147.9,28.6,59.65,88.25,0,71.8,72.3,192.7,7,H,11,8,1,239,19,858,75,H St,Q1,0,0,0,0,0,0,0,0,230.9,1,0,1,28,H,1,0.051,6.6942,0.0151,0.2078,0,0,0,93.0281,0,6264.499,100,96.3431,16.3966,0,6.3026,3.3793,142.4654,23.3631,71.7646,72.2606,192.7202,211,79817,3.1825,-1.9325
11/14/2017 18:43,834,1,107.7,30.9,38.4,69.3,0,55.7,55.7,111.9,0,A,8,1,1,96,54,858,140,A,Q1,0,0,0,0,0,0,0,0,230.4,1,0,1,28,A,1,0,5.832,10.3313,82.5611,0.0025,0,0.0124,1.2533,0,290.8293,93.3487,73.0219,2.0555,85.8532,3.9604,6.3888,75.6647,39.0917,55.665,55.7352,111.9209,68,80186,3.8682,-0.1018
11/14/2017 18:43,836,1,134.5,12.4,61.05,73.45,0,59.9,60,141.7,0,A,9,1,1,98,56,858,115,A,Q1,0,0,0,0,0,0,0,0,231.3,1,0,1,28,A,1,0,4.0476,1.1552,94.4171,0.0064,0,0,0.3672,0,702.2224,100,74.3915,1.0972,72.6328,2.9562,3.3644,54.7135,24.5871,59.9148,59.9889,141.6945,70,80188,3.6537,-1.4619
11/14/2017 18:43,839,1,109,26.5,41.25,67.75,0,55.5,55.5,113.8,0,A,7,1,1,101,59,858,165,A,Q1,0,0,0,0,0,0,0,0,230.3,1,0,1,28,A,1,0,2.0112,0,97.9811,0.0026,0,0,0,0,367.6005,100,75.0653,2.0945,63.8372,5.3348,5.4408,51.4964,7.7218,55.4668,55.4958,113.759,73,80191,3.2109,-1.4537
11/14/2017 18:43,843,1,129.7,28.9,50.4,79.3,0,60.3,60.4,136.8,0,A,9,1,1,105,63,858,115,A,Q1,0,0,0,0,0,0,0,0,230.4,1,0,1,28,A,1,0,1.9053,0.1432,97.8833,0.0068,0,0,0.0568,0,765.1952,84.7042,78.0693,2.4569,55.3249,4.4914,7.0851,32.9946,11.873,60.3262,60.3599,136.7586,77,80195,3.4936,-4.165
11/14/2017 18:43,846,1,231.7,15,108.35,123.35,0,74.9,81.1,247.7,0,A,13,1,1,108,66,858,Over,A,Q1,0,0,0,0,0,0,0,0,230.5,1,0,1,28,A,1,0,4.7568,0.008,95.0936,0.0161,0,0.0338,0.0885,0,2093.9421,94.8968,81.5339,2.5541,0,4.1689,7.2245,71.0213,14.7733,74.8795,81.1326,247.6828,80,80198,2.9804,-0.402
11/14/2017 18:43,849,1,167.6,21.5,73.05,94.55,0,64.4,64.4,177.3,0,A,10,1,1,111,69,858,95,A,Q1,0,0,0,0,0,0,0,0,230.5,1,0,1,28,A,1,0,4.7808,8.2002,86.5997,0.0129,0,0,0.4046,0,811.9142,100,74.7294,2.1688,71.6023,3.1492,6.9088,59.7668,23.2998,64.3912,64.427,177.2622,83,80201,2.3485,-1.9105
11/14/2017 18:43,851,1,139.2,25.2,57,82.2,0,64.2,64.3,149.6,0,A,10,1,1,113,71,858,95,A,Q1,0,0,0,0,0,0,0,0,231,1,0,1,28,A,1,0,2.1722,0,97.7787,0.0469,0,0,0,0,556.3401,76.9024,84.7738,4.1715,58.6105,4.7176,4.3028,44.5395,13.1327,64.2056,64.306,149.5766,85,80203,3.8881,-2.6969
11/14/2017 18:43,852,1,243.2,39.2,102,141.2,0,74.6,74.6,254.9,0,A,12,1,1,114,72,858,63,A,Q1,0,0,0,0,0,0,0,0,230.2,1,0,1,28,A,1,0,13.1149,7.6513,78.9671,0.0322,0,0.1196,0.1104,0,1789.7028,93.0191,83.0437,2.2607,27.7656,5.042,4.8716,90.1293,22.5281,74.6252,74.5646,254.8601,86,80204,3.7878,-3.1207
11/14/2017 18:43,853,1,112.7,22.8,44.95,67.75,0,58.9,59,114.7,0,A,8,1,1,115,73,858,140,A,Q1,0,0,0,0,0,0,0,0,230.7,1,0,1,28,A,1,0,6.0731,0,93.7206,0.0287,0,0.1175,0.0548,0,367.7556,100,85.7095,3.0962,55.1019,5.3405,5.5588,66.0192,13.7781,58.8775,59.0178,114.7324,87,80205,4.2366,-0.8926
