Batch Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2017 21:15,902,P 98,Glen Wright,08_01,11/14/2017 13:13,11/14/2017 21:15,#28 Pro 98 Lemons,28,902,Disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Dark Yellow,Yellow,Light Yellow,Light Green,Green,Dark Green,Scar,Start of Batch,Conveyor,Texture,Smoothness,Roundness,Vertical Diameter Stability,Stem Area,Curvature,Flatness,Lemon (Dark Yellow +),2nd Color Variation (Dark Yellow +),Major Diameter (mm),Minor Diameter (mm),Volume (ml),Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
11/14/2017 21:16,589,1,133.1,30.6,51.25,81.85,0,71.7,72.3,192.4,7,H,11,8,1,215,75,902,75,H St,Q1,0,0,0,0,0,0,0,0,230.7,1,0,1,28,H,1,0.0486,0.6375,0,0.1271,0,0,0,99.1793,0,5830.4048,100,96.2592,17.574,0,6.3776,3.5702,138.7628,28.0921,71.7232,72.2523,192.4182,187,157361,2.7481,-2.0848
11/14/2017 21:18,30,1,165.5,37.5,64,101.5,0,64.2,64.4,175.1,0,A,10,1,1,80,140,902,95,A,Q1,0,0,0,0,0,0,0,0,230,1,0,1,28,A,1,0.0057,47.7122,31.209,20.1992,0.0516,0,0,0.8145,0,834.9114,100,75.6894,1.2557,40.6482,2.7642,5.0157,136.5452,10.88,64.2112,64.4451,175.1018,52,158762,3.3143,-3.1795
11/14/2017 21:18,31,1,127.7,26.7,50.5,77.2,0,59.7,59.7,133.9,0,A,9,1,1,81,141,902,115,A,Q1,0,0,0,0,0,0,0,0,230.2,1,0,1,28,A,1,0,14.091,0,85.9022,0,0,0,0.0023,0,766.9243,100,76.7464,2.6634,91.8387,2.3211,4.4666,67.6104,11.234,59.7045,59.7277,133.9268,53,158763,3.7278,-4.1766
11/14/2017 21:18,33,1,181.6,31.7,74.95,106.65,0,69.4,69.5,192.8,0,A,11,1,1,83,143,902,75,A,Q1,0,0,0,0,0,0,0,0,230.5,1,0,1,28,A,1,0,22.9586,1.8653,73.7508,0.122,0,0,1.2959,0,818.943,100,86.3135,4.4727,37.1795,3.8422,3.8996,107.5127,16.7845,69.4286,69.5111,192.7614,55,158765,3.4594,-2.1828
11/14/2017 21:18,35,1,119.9,27.4,46.25,73.65,0,59.9,60,122.4,0,A,9,1,1,85,145,902,115,A,Q1,0,0,0,0,0,0,0,0,230.3,1,0,1,28,A,1,0,10.8242,0,89.1428,0.0101,0,0,0.0152,0,497.4684,100,86.6201,2.7907,33.2366,7.4103,5.5122,53.6793,10.0157,59.8892,59.9971,122.3795,57,158767,1.9981,-3.7349
11/14/2017 21:18,36,1,131.9,17.5,57.2,74.7,0,61.3,61.5,135.9,0,A,9,1,1,86,146,902,115,A,Q1,0,0,0,0,0,0,0,0,230.2,1,0,1,28,A,1,0,15.8909,0.0845,83.893,0.1221,0,0.0023,0,0,346.2111,100,84.1559,2.7295,36.407,4.9213,5.6103,72.1003,9.476,61.3092,61.463,135.9482,58,158768,2.2948,-0.5689
11/14/2017 21:18,37,1,132.6,23,54.8,77.8,0,62.2,62.2,138.8,0,A,9,1,1,87,147,902,115,A,Q1,0,0,0,0,0,0,0,0,230.4,1,0,1,28,A,1,0.0046,21.6936,0,78.0782,0.1383,0.0069,0,0.0738,0,811.2765,100,85.5732,1.9917,54.9356,4.1691,4.3125,91.3689,10.3627,62.1982,62.2212,138.8463,59,158769,2.595,-1.1343
11/14/2017 21:18,38,1,123,24.6,49.2,73.8,0,60,60.1,125.8,0,A,9,1,1,88,148,902,115,A,Q1,0,0,0,0,0,0,0,0,230.6,1,0,1,28,A,1,0,5.6882,0,94.2278,0.0716,0,0,0.0074,0,638.4047,92.7056,84.3098,3.2221,28.4916,3.3466,6.9229,48.2698,8.5593,60.0189,60.0614,125.7797,60,158770,3.7461,-2.9159
11/14/2017 21:18,39,1,178.2,16.2,81,97.2,0,68.2,68.3,186.5,0,A,11,1,1,89,149,902,75,A,Q1,0,0,0,0,0,0,0,0,230,1,0,1,28,A,1,0,0.1179,0,99.796,0.0823,0,0,0,0,1001.3633,100,83.8185,1.3959,59.4831,4.0827,4.228,41.6539,7.4685,68.213,68.3451,186.4865,61,158771,5.0322,-3.7616
11/14/2017 21:18,41,1,174.8,21,76.9,97.9,0,63.4,63.7,182.6,0,A,10,1,1,91,151,902,95,A,Q1,0,0,0,0,0,0,0,0,229.6,1,0,1,28,A,1,0,28.1084,0.6478,70.9643,0.0599,0,0.0018,0.2105,0,801.654,100,69.4609,1.9126,62.178,2.8009,5.2904,105.6054,15.4264,63.4405,63.6761,182.6293,63,158773,3.0513,-1.7531
