Batch Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2017 17:11,835,P 98,Glen Wright,10_09,11/14/2017 9:07,11/14/2017 17:11,#28 Pro 98 Lemons,28,835,Disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Dark Yellow,Yellow,Light Yellow,Light Green,Green,Dark Green,Scar,Start of Batch,Conveyor,Texture,Smoothness,Roundness,Vertical Diameter Stability,Stem Area,Curvature,Flatness,Lemon (Dark Yellow +),2nd Color Variation (Dark Yellow +),Major Diameter (mm),Minor Diameter (mm),Volume (ml),Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
11/14/2017 17:11,877,1,129.6,32.3,48.65,80.95,0,71.6,72.1,191.2,7,H,11,8,1,179,89,835,75,H St,Q1,0,0,0,0,0,0,0,0,229.7,1,0,1,28,H,1,0.0517,6.6929,0.0537,0.2168,0,0,0,92.9809,0,8249.3213,100,96.0641,20.6089,0,7.2797,3.0174,137.8673,28.9215,71.5916,72.0847,191.1879,151,50829,2.7089,-2.3804
11/14/2017 17:12,509,1,256.8,17.7,119.55,137.25,0,76,76.2,265.8,0,A,12,1,1,23,33,835,63,A,Q1,0,0,0,0,0,0,0,0,230.1,1,0,1,28,A,1,0.003,21.5894,6.0161,71.8712,0.0015,0,0.0179,0.4965,0,1150.7491,78.4194,79.514,1.4496,49.1114,3.1082,3.4455,111.8307,14.0778,76.03,76.1727,265.8311,251,51441,2.8197,-3.2487
11/14/2017 17:12,521,1,219.7,37.8,90.95,128.75,0,73.2,73.4,231.6,0,A,12,1,1,35,45,835,63,A,Q1,0,0,0,0,0,0,0,0,230.5,1,0,1,28,A,1,0,0.0244,0,99.9154,0.0602,0,0,0,0,1479.6914,100,83.1334,1.5666,32.8453,4.9976,5.9747,38.5558,10.634,73.2253,73.3824,231.6382,7,51453,4.2396,-1.2611
11/14/2017 17:12,525,1,136.8,27.7,54.55,82.25,0,62.8,62.9,152.3,0,A,9,1,1,39,49,835,115,A,Q1,0,0,0,0,0,0,0,0,230.9,1,0,1,28,A,1,0,1.2061,0,98.7548,0.0247,0,0,0.0103,0,2495.8076,100,77.2928,1.7935,100.215,3.3572,5.3776,45.0002,8.1419,62.8372,62.9187,152.2787,11,51457,1.8475,-1.3191
11/14/2017 17:12,526,1,248.9,18.5,115.2,133.7,0,76.8,77.1,275.7,0,A,12,1,1,40,50,835,63,A,Q1,0,0,0,0,0,0,0,0,230.2,1,0,1,28,A,1,0,2.8876,0,96.9276,0.1037,0,0.003,0.0736,0,2441.9341,70.3375,82.0748,2.436,43.4383,3.9544,6.865,63.6724,11.4376,76.8225,77.1333,275.7345,12,51458,3.7896,-2.2274
11/14/2017 17:12,527,1,202.3,46.8,77.75,124.55,0,71.8,75.1,208.7,0,A,12,1,1,41,51,835,63,A,Q1,0,0,0,0,0,0,0,0,230.5,1,0,1,28,A,1,0,6.7398,0.2577,92.6936,0.0671,0,0.24,0.0018,0,1115.7463,80.4191,88.5084,5.2602,0,4.42,5.0541,87.5477,10.9786,71.7828,75.0792,208.6712,13,51459,2.6026,-2.9304
11/14/2017 17:12,528,1,130.6,21.2,54.7,75.9,0,61.1,61.2,147.8,0,A,9,1,1,42,52,835,115,A,Q1,0,0,0,0,0,0,0,0,230.6,1,0,1,28,A,1,0,2.1045,0.409,97.462,0.0143,0,0,0.0041,0,2064.8662,94.507,72.5382,1.7995,120.4841,2.591,4.8523,56.8834,8.6714,61.0556,61.1584,147.7786,14,51460,3.2605,-3.7665
11/14/2017 17:12,529,1,201.1,28.4,86.35,114.75,0,71,71.1,218.2,0,A,11,1,1,43,53,835,75,A,Q1,0,0,0,0,0,0,0,0,230.3,1,0,1,28,A,1,0.0078,23.4777,4.2759,71.9426,0.0312,0,0.0374,0.2228,0,1485.2,86.1426,76.3996,2.8348,84.5873,4.9057,3.3137,112.9965,15.771,70.9657,71.0945,218.1918,15,51461,3.7028,-2.6836
11/14/2017 17:12,531,1,143.1,13.2,64.95,78.15,0,64.4,64.6,147.9,0,A,10,1,1,45,55,835,95,A,Q1,0,0,0,0,0,0,0,0,230.7,1,0,1,28,A,1,0,1.4158,0.1555,98.4263,0,0,0,0,0,977.4906,67.3544,89.8311,28.5416,61.8878,4.441,13.0971,43.8107,12.4575,64.3532,64.5808,147.8942,17,51463,2.9688,-1.7336
11/14/2017 17:12,533,1,194.9,25.2,84.85,110.05,0,69.9,70.4,209.1,0,A,11,1,1,47,57,835,75,A,Q1,0,0,0,0,0,0,0,0,231.7,1,0,1,28,A,1,0,7.481,7.5623,84.9325,0.0035,0,0.0069,0.0104,0,1441.0419,91.1194,80.0395,2.6148,49.3798,7.1642,7.5913,91.1771,16.0163,69.8745,70.4472,209.1312,19,51465,4.3331,-1.301
11/14/2017 17:12,534,1,218.8,36.4,91.2,127.6,0,75.6,75.4,247.2,0,A,12,1,1,48,58,835,63,A,Q1,0,0,0,0,0,0,0,0,230,1,0,1,28,A,1,0,8.7612,7.7211,83.1897,0.0273,0,0.0932,0.2026,0,1549.099,94.521,86.498,2.2324,23.6672,3.5919,3.788,96.4753,22.6334,75.5865,75.3984,247.2198,20,51466,3.8243,-1.7202
11/14/2017 17:12,536,1,227,0.6,113.2,113.8,0,77.5,78.6,246.8,0,A,12,1,1,50,60,835,63,A,Q1,0,0,0,0,0,0,0,0,231.8,1,0,1,28,A,1,0.0107,18.9324,28.3602,51.1861,0.0428,0,0.0036,1.4572,0,1947.2817,82.0191,96.5962,20.7288,0,10.6938,4.5984,110.3722,54.1202,77.4692,78.583,246.7516,22,51468,2.7046,-0.5266
11/14/2017 17:12,537,1,225.8,21,102.4,123.4,0,76.4,76.8,240.8,0,A,12,1,1,51,61,835,63,A,Q1,0,0,0,0,0,0,0,0,231.4,1,0,1,28,A,1,0,4.4008,0,95.3842,0.043,0,0.1555,0.0116,0,2397.6223,100,87.5109,3.2546,70.7057,5.2538,7.5399,79.5428,15.8635,76.4131,76.7588,240.7518,23,51469,4.1951,-1.4385
11/14/2017 17:12,538,1,132.3,30.3,51,81.3,0,60,60.1,140.2,0,A,9,1,1,52,62,835,115,A,Q1,0,0,0,0,0,0,0,0,230.6,1,0,1,28,A,1,0,0.756,0,99.215,0.0268,0,0,0,0,668.478,100,76.3051,1.524,65.6272,2.6672,4.5907,38.2388,6.6802,59.984,60.0935,140.1667,24,51470,3.3252,-3.5137
11/14/2017 17:12,539,1,128.5,14.8,56.85,71.65,0,62.5,62.7,137.3,0,A,9,1,1,53,63,835,115,A,Q1,0,0,0,0,0,0,0,0,230.3,1,0,1,28,A,1,0,0.0116,0,99.9745,0.0093,0,0,0,0,978.8543,71.9066,86.897,9.462,60.7897,9.0824,7.4296,41.8524,6.2705,62.4546,62.6585,137.2698,25,51471,3.9772,-4.1738
11/14/2017 17:12,541,1,120.1,25.7,47.2,72.9,0,59.5,59.5,130.5,0,A,9,1,1,55,65,835,115,A,Q1,0,0,0,0,0,0,0,0,230.4,1,0,1,28,A,1,0,1.2305,4.4322,94.3232,0.0094,0,0,0,0,870.2991,92.5607,78.3273,2.0973,84.8522,2.9326,4.387,54.3955,17.2215,59.4788,59.5352,130.5005,27,51473,3.0271,-4.4773
11/14/2017 17:12,542,1,155,32.7,61.15,93.85,0,65,65.4,177.7,0,A,10,1,1,56,66,835,95,A,Q1,0,0,0,0,0,0,0,0,230.3,1,0,1,28,A,1,0,1.0194,0,98.6732,0.0194,0,0.2827,0.0018,0,3522.5923,63.1173,72.771,1.5765,107.6671,3.6302,4.0304,47.2856,14.454,65.0366,65.4063,177.7411,28,51474,3.0858,-4.1885
11/14/2017 17:12,543,1,105.7,31.4,37.15,68.55,0,56.1,56.3,113.3,0,A,8,1,1,57,67,835,140,A,Q1,0,0,0,0,0,0,0,0,231.5,1,0,1,28,A,1,0,5.9145,0.5013,93.562,0.0123,0,0,0,0,1358.4489,94.0586,72.0325,2.9833,91.8843,5.7634,5.3325,70.1142,19.5753,56.0572,56.3428,113.3125,29,51475,3.6595,-2.3989
11/14/2017 17:12,548,1,162,40.7,60.65,101.35,0,66.7,66.9,179.3,0,A,10,1,1,62,72,835,95,A,Q1,0,0,0,0,0,0,0,0,230.3,1,0,1,28,A,1,0,9.0813,4.5876,86.2449,0.0268,0,0,0.0574,0,1144.2444,100,81.4621,2.5139,29.9772,4.2255,4.5125,86.8304,11.8692,66.6889,66.8926,179.3015,34,51480,2.5783,-2.3055
11/14/2017 17:12,549,1,114.9,21.6,46.65,68.25,0,57.9,58.1,123.7,0,A,8,1,1,63,73,835,140,A,Q1,0,0,0,0,0,0,0,0,230.5,1,0,1,28,A,1,0,40.143,0,58.1549,0.0181,0,1.6794,0,0,1627.8307,71.7181,71.596,2.2607,89.5738,2.8606,5.3418,136.4452,8.3516,57.878,58.075,123.6657,35,51481,3.3832,-1.6665
11/14/2017 17:12,554,1,241.7,21.2,110.25,131.45,0,75.9,76.2,254.1,0,A,12,1,1,68,78,835,63,A,Q1,0,0,0,0,0,0,0,0,230.7,1,0,1,28,A,1,0,12.9225,0.7981,86.0392,0.1264,0,0.0664,0.0427,0,1624.7562,35.8205,84.1066,5.2237,94.5344,3.7471,3.5806,102.6098,13.8672,75.9105,76.2337,254.0504,40,51486,3.1937,-3.1565
11/14/2017 17:12,556,1,111.2,20.7,45.25,65.95,0,58.1,58.1,118.3,0,A,8,1,1,70,80,835,140,A,Q1,0,0,0,0,0,0,0,0,231.7,1,0,1,28,A,1,0,0,0,100,0,0,0,0,0,917.6404,95.294,77.3881,1.7689,77.2853,3.8927,5.7083,35.0385,6.2071,58.0722,58.1303,118.306,42,51488,1.8244,-2.5059
11/14/2017 17:12,564,1,126.8,28.7,49.05,77.75,0,58.7,59.1,134.7,0,A,8,1,1,78,88,835,140,A,Q1,0,0,0,0,0,0,0,0,230.5,1,0,1,28,A,1,0,0.356,0.0534,99.5751,0.0067,0,0,0.0022,0,1333.2695,70.9693,73.4164,1.4128,73.2827,2.6485,5.5357,38.6602,8.3144,58.6715,59.0574,134.7185,50,51496,2.2941,-3.5643
11/14/2017 17:12,569,1,119,26.2,46.4,72.6,0,58.6,58.7,127.8,0,A,8,1,1,83,93,835,140,A,Q1,0,0,0,0,0,0,0,0,230.4,1,0,1,28,A,1,0,0,0,99.9978,0,0,0,0,0,1752.6733,82.3202,73.2122,0.8582,117.4784,3.38,5.7989,33.7643,6.1794,58.5827,58.6609,127.7775,55,51501,2.9782,-3.2876
11/14/2017 17:13,588,1,319.6,26.5,146.55,173.05,0,83.1,83.2,343.5,0,A,13,1,1,102,112,835,Over,A,Q1,0,0,0,0,0,0,0,0,230.3,1,0,1,28,A,1,0,9.8094,4.1246,85.7523,0.0297,0,0.0014,0.2798,0,1922.8651,92.1938,79.3616,1.8449,97.2107,5.4956,5.8809,92.0734,23.0857,83.0812,83.1973,343.4731,74,51520,1.9189,-0.9657
11/14/2017 17:13,596,1,512.9,8.8,252.05,260.85,0,98.8,99.6,558.5,0,A,13,1,1,110,120,835,Over,A,Q1,0,0,0,0,0,0,0,0,230.1,1,0,1,28,A,1,0,27.8412,5.3988,65.9879,0.0214,0,0.2991,0.4492,0,3544.7327,70.1195,83.9473,6.1256,85.345,5.3947,4.8929,112.6986,20.4415,98.8037,99.5614,558.4924,82,51528,3.7727,-5.3554
11/14/2017 17:13,597,1,125,43.4,40.8,84.2,0,57.4,57.5,133.4,0,A,8,1,1,111,121,835,140,A,Q1,0,0,0,0,0,0,0,0,229.6,1,0,1,28,A,1,0,0.1756,0,99.8046,0.0176,0,0,0,0,1034.8424,100,69.9763,0.9695,106.1332,3.1293,3.8672,46.441,7.4639,57.3776,57.5116,133.442,83,51529,2.4708,-4.8173
