LR_Diff,RodPulse,RodIndex,SizeName,Red,Red/Orange,Dark Orange,Orange,Green,Scar,Texture,Blem,Dark Blem,Trapeziod Angle (Deg),Stem angle,Smoothness,Flatness,Elongation,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,Rough skin,Fruit Center X (mm),Fruit Center Y (mm)
2.7,126,320,72,0.088,0.16,6.2075,91.9861,0.044,0.3041,370.2728,3.2989,0.5469,180,167.0833,61.0741,7.2613,4.2001,166.4657,372.186,11.095,34.96,62.963,1.7043,-1.8998
26.9,127,321,56,0.0832,0.1526,6.3359,91.8612,0,0.1248,270.5612,43.6733,0,180,169.0421,100,6.2456,2.4985,65.168,282.893,11.04,34.26,65.3846,2.9475,-4.6644
15.8,129,323,72,0.0878,0.2382,6.8521,91.3612,0.0313,0.326,317.2052,3.8487,0,180,173.504,100,6.9369,4.8603,154.1044,292.0061,11.09,34.47,62.963,3.3331,-0.709
34.9,131,325,56,0.1032,0.1694,7.8693,90.6666,0.0019,0.1324,452.2464,48.968,0,180,145.5022,40.3901,9.35,4.3158,267.3535,303.223,12.215,30.85,92.5926,1.3696,-2.0095
36.7,141,1,56,0.3547,0.3942,8.0088,90.0749,0.1239,0.3979,796.4708,9.2505,0,180,174.4608,73.32,5.3528,4.638,153.6814,398.4643,12.17,32.965,88,1.4389,-2.2857
10.6,144,4,56,0.261,0.2216,11.7846,87.4568,0.0338,0.0789,1826.9722,12.8017,4.4639,180,172.6222,100,4.6162,10.3689,151.302,413.8251,12.1,32.945,80.7692,1.5889,0.1552
39.2,145,5,56,0.046,0.1418,5.3499,93.7016,0.0115,0.3871,878.6456,8.6957,0,180,180,100,5.9462,4.5047,161.4738,336.1743,11.065,33.65,65.3846,3.0846,-4.2663
17.5,152,12,48,0.0772,0.2479,10.448,88.2895,0.0213,0.3612,1070.0856,159.8552,4.0679,180,168.8109,100,5.7198,7.8577,213.5869,478.3773,11,34.87,33.3333,3.0805,-4.3515
39.9,155,15,48,0.1325,0.2282,13.0365,85.2471,0.0101,0.2013,1515.1296,56.4078,11.6052,180,158.4944,100,5.308,2.9775,186.7999,642.5744,11.615,32.73,57.6923,3.927,-0.4486
18.3,156,16,56,0.0257,0.1265,5.122,90.9461,0,0.2237,267.3375,18.0959,2.4443,180,168.0226,94.9157,7.7422,3.6426,196.1344,432.0893,10.335,34.205,40.7407,1.6891,-0.8445
