LR_Diff,RodPulse,RodIndex,SizeName,Red,Red/Orange,Dark Orange,Orange,Green,Scar,Texture,Blem,Dark Blem,Trapeziod Angle (Deg),Stem angle,Smoothness,Flatness,Elongation,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,Rough skin,Fruit Center X (mm),Fruit Center Y (mm)
37.7,123,239,56,0.1396,0.4055,7.6737,90.876,0.1584,0.3753,206.6393,12.0497,0,164.426,173.177,100,2.8557,4.0821,242.3387,443.7577,12.265,32.115,55.5556,2.6675,-4.8994
51.2,126,242,48,0.0734,0.1984,6.6699,92.1915,0.03,0.2317,1542.504,56.7948,2.4956,180,167.2731,100,8.9881,6.0374,130.2969,282.7635,11.255,33.46,80.7692,4.6048,-4.3953
17,129,245,56,0.1694,0.1973,12.3255,87.0397,0.0149,0.0726,818.118,8.609,1.361,180,165.2522,28.6188,6.3743,2.6671,161.9992,668.197,11.83,33.665,65.3846,5.4449,-2.156
6.3,132,248,56,0.0828,0.1618,8.9984,87.715,0.2119,0.4816,203.6989,0,0,180,174.6198,44.9568,7.7989,3.4108,234.6811,369.9713,11.62,31.315,61.5385,1.323,-1.6609
-0.9,136,252,48,0.1394,0.1917,12.1515,87.1341,0,0.0662,824.5509,83.2017,0,180,177.8934,69.7864,7.5429,2.7533,176.1627,499.5163,12.19,30.13,80.7692,3.5557,-3.4155
17.3,143,259,48,0.1068,0.1825,14.8026,84.3605,0.0448,0.0672,641.3107,28.2066,0.8136,180,141.891,100,7.2331,9.0228,1.8983,488.5363,11.905,35.205,53.8462,1.5852,-0.5711
57,148,264,40,0.1265,0.5188,15.0775,81.876,0.2025,0.193,1113.6237,102.5262,50.8068,180,163.6976,91.6835,6.4272,4.5456,2.2011,654.5133,10.68,36.02,88.8889,1.9002,-2.9158
46.3,157,273,48,0.0453,0.1494,8.4471,90.5002,0.0856,0.3811,1895.1647,35.5589,4.9063,180,180,76.9536,11.0189,5.2004,218.9989,421.4839,11.45,33.645,100,3.3984,-4.2354
31.1,158,274,72,0.0913,0.1945,7.3655,91.4896,0.1111,0.5596,242.3586,0,0,174.0191,180,100,4.8226,3.8688,194.0043,244.3369,11.87,32.97,57.6923,2.5794,-3.8366
12.6,159,275,88,0.0363,0.1366,5.1425,93.8908,0,0.1856,548.1219,40.8726,1.1043,180,153.6806,86.5616,5.9424,2.6783,182.1497,320.3573,11.59,32.455,61.5385,3.4949,-2.4418
22.9,161,277,48,0.0744,0.1258,9.4481,89.0454,0.0975,0.4236,1061.0944,6.2791,8.7236,180,148.903,86.4845,5.165,5.4059,213.4368,591.5663,11.185,33.825,55.5556,3.7693,-2.3801
21,166,282,56,0.0999,0.2273,9.8018,87.8997,0.0103,0.241,771.1129,1.3631,0,180,180,100,3.4745,10.5659,76.8556,282.8379,11.24,33.51,46.1538,4.442,-0.4571
41.2,168,284,72,0.0739,0.2716,8.8826,90.4135,0.0573,0.1145,684.1855,6.2033,0,180,180,100,4.1366,11.1035,87.0926,289.1974,11.69,33.25,69.2308,2.2116,-4.6817
39.6,169,285,56,0.127,0.2386,8.7522,90.3799,0.0096,0.3021,459.7148,6.3132,1.9214,166.3491,162.4212,100,4.1583,3.4387,4.9116,269.7794,11.41,33.215,81.4815,2.3788,-0.7006
19.7,171,287,48,0.1474,0.2491,13.3476,84.9141,0.0779,0.3999,715.7753,13.6308,1.0816,164.8666,180,94.9549,4.2152,4.0252,231.6555,594.1105,10.81,33.38,55.5556,2.0655,0.4917
33.7,173,289,72,0.0682,0.124,6.131,93.2013,0,0.1282,769.3047,16.7112,0,180,156.5015,100,3.829,5.1324,176.7628,210.2356,11.695,32.475,61.5385,2.2543,-1.403
26.7,174,290,48,0.0438,0.3555,9.001,89.0798,0.2292,0.6319,1408.2944,197.3931,12.4729,180,151.9059,94.5367,5.228,8.1,117.5852,551.3765,11.26,32.68,92.8571,2.359,0.7852
-10.6,175,291,40,0.0845,0.1201,10.4648,88.4857,0.0044,0.1527,1942.8781,90.4456,14.9741,180,178.8158,92.107,6.5126,9.4945,223.0019,597.7181,10.69,34.43,100,3.9518,-1.4306
43.9,177,293,48,0.1268,0.2046,10.8555,87.3998,0.0338,0.2232,1007.6413,55.3483,0.8296,180,168.4347,84.6427,6.8083,3.8075,205.4954,726.2613,11.52,33.26,69.2308,3.5585,-1.9372
52.6,181,297,48,0.1489,0.2453,14.2333,84.7109,0,0.1066,641.9785,23.2836,0,180,173.019,78.4249,9.9044,5.7355,143.9526,756.6213,10.755,35.735,80.7692,3.8923,-1.1728
34.4,183,299,48,0.1295,0.1721,11.4505,86.9695,0,0.1721,1221.3625,79.9336,4.3488,180,167.4863,100,9.9412,4.0066,1.3837,501.7396,11.92,34.315,59.2593,4.8781,-1.7386
19.7,185,301,40,0.0542,0.1233,9.5052,88.7243,0,0.263,1078.9899,51.7286,13.45,180,166.5914,100,3.8824,3.6858,196.0844,596.0685,10.79,33.58,70.3704,4.1885,-0.5852
17.4,187,303,48,0.156,0.3797,11.1437,87.4036,0.1644,0.339,657.2505,6.5671,18.9692,180,180,78.895,4.629,6.8003,200.4842,645.1874,11.265,33.765,57.6923,1.3437,-0.554
107.9,188,304,56,0.0752,0.1786,8.2422,91.0624,0,0.1165,821.9554,69.1907,9.9006,180,153.9127,100,7.0581,4.757,181.6964,250.7355,11.37,32.085,73.0769,2.8472,-2.2665
27.8,190,306,40,0.1744,0.3125,10.9335,87.8637,0.2412,0.2154,1333.6582,71.748,15.0763,180,180,77.269,3.5754,9.5555,7.8189,738.0629,11.35,33.26,39.2857,5.5706,-0.9367
24.1,192,308,48,0.1309,0.1695,8.8652,88.7625,0,0.1661,566.6155,17.8368,0,169.8551,171.0064,100,5.2602,2.1861,270.4996,666.653,11.085,35.23,96.2963,1.6341,0.192
32.2,194,310,48,0.117,0.2943,9.0196,89.5673,0.0189,0.2513,1062.8583,15.8095,3.3381,164.3636,170.5339,94.6552,3.9805,3.59,201.5694,573.0151,11.3,32.795,73.0769,3.8026,-0.7923
42.2,195,311,56,0.0655,0.1421,7.4449,91.6014,0,0.202,802.5124,24.0811,2.4682,180,175.1531,100,3.7247,5.8029,7.6563,238.3796,10.985,32.81,40.7407,2.6274,-4.1325
14.3,199,315,40,0.153,0.2758,10.9861,87.5761,0.0824,0.3985,823.8597,0.5527,3.3167,169.0368,163.7735,93.002,5.5752,3.6498,157.6784,408.7637,11.01,34.075,76,1.3561,-3.392
-22.3,203,319,56,0.2305,0.2665,13.5951,85.3426,0.0432,0.0864,1108.6868,56.0167,14.671,180,169.0343,100,5.0005,2.5429,112.7959,487.9185,12.22,32.94,92.5926,3.1238,-0.8152
25.2,205,321,56,0.0234,0.2337,4.2031,93.0031,0.1636,0.4908,745.7293,0,1.6756,180,180,95.3954,6.9669,7.8191,190.9845,436.9432,10.875,33.21,42.3077,1.8433,-3.0742
42.9,209,325,72,0.159,0.2258,10.3494,88.3373,0,0.2945,177.0983,0.8433,0,180,161.6147,100,5.3138,3.6223,123.314,277.1681,12.06,32.395,32.1429,2.704,-2.858
17,213,329,72,0.1285,0.1819,12.4513,86.9715,0.0138,0.1838,464.0065,3.3889,0,180,167.2765,100,6.9635,7.4193,2.4685,224.6902,11.745,33.145,50,3.1165,-3.0351
24.7,215,331,56,0.0927,0.1454,10.83,88.3885,0,0.1363,1022.4033,29.215,0,180,134.6882,100,7.6472,3.8775,4.9851,755.9825,11.685,31.425,62.963,2.3796,-0.83
27.4,218,0,56,0.0606,0.1306,8.7104,90.2015,0.0719,0.3217,1106.0629,12.8837,13.6703,161.6848,180,93.4431,4.5955,2.3453,99.0611,374.2215,11.785,33.055,57.6923,2.9065,0.2833
32,219,1,56,0.2003,0.2232,7.5457,91.5273,0.0153,0.1335,195.4326,3.8754,0,180,149.0224,95.4531,6.3182,5.9636,158.7479,326.2571,11.515,33.965,65.3846,2.5517,-2.5341
-9.3,222,4,40,0.1025,0.1797,9.5966,88.953,0,0.1104,852.3504,5.3684,0,180,143.6159,92.9958,9.1891,3.7752,1.3324,452.6863,11.5,34.27,84.6154,3.175,-2.7154
26.7,224,6,32,0.1201,0.1882,13.9707,84.1811,0,0.1497,939.6044,49.7642,6.1202,180,141.5213,82.7939,11.6032,4.7333,3.1936,699.2599,11.06,33.47,70.3704,1.4777,-1.8932
16.7,227,9,56,0.0799,0.0765,10.4017,88.9712,0.1886,0.1325,1927.9951,72.8289,16.5627,180,179.3103,47.4247,6.7531,8.1708,169.1307,476.2554,12,32.775,96.1538,0.94,-1.8859
21,228,10,88,0.0863,0.2339,4.0708,94.5601,0.0318,0.3292,223.586,1.9503,0,180,166.7984,76.7938,4.2847,4.9577,13.7938,192.5413,10.91,33.92,29.6296,3.6636,-1.3482
40.8,234,16,56,0.0742,0.2358,5.4749,92.321,0.0038,0.3157,803.1063,164.4383,1.4053,180,171.5197,90.6851,6.1121,6.1647,134.2764,230.5222,12.195,31.16,88.4615,2.3715,-4.2372
34,241,23,48,0.1137,0.5294,7.5331,87.979,0.048,0.6147,1179.4224,55.2316,20.0687,180,169.8974,86.4191,4.7997,4.728,245.7142,371.5305,11.36,30.88,84.6154,3.5577,-1.99
29.1,246,28,72,0.0992,0.2111,5.7194,93.1616,0,0.3716,328.3196,5.7978,1.6546,180,168.5001,100,7.9349,6.1768,67.3425,284.3523,11.355,33.625,53.8462,3.6527,-2.7211
29.6,247,29,56,0.1486,0.0881,11.9517,86.4981,0.6421,0.3137,1180.5011,18.2055,42.0983,179.2456,180,43.3264,4.403,4.149,5.2459,415.3479,12.18,32.7,46.1538,3.0545,-4.59
42,248,30,56,0.2584,0.2363,15.7755,83.3884,0.0941,0.131,1015.4249,10.061,8.107,180,180,89.7484,5.052,5.6733,104.2869,329.6425,11.67,32.365,100,2.8401,-3.6864
23.4,251,33,56,0.0701,0.2358,6.402,92.6444,0.0786,0.3657,900.3035,49.2602,0,180,180,100,3.5059,10.887,121.7483,391.8901,11.86,33.415,81.4815,1.1152,-2.824
30.6,253,35,40,0.088,0.132,12.0277,86.8003,0,0.1697,1562.639,183.8222,6.4353,180,150.0027,100,4.9911,3.1857,31.8717,815.3525,11.38,34.15,88,2.2364,-2.8502
8.8,254,36,48,0.0997,0.1539,7.952,91.413,0,0.0717,590.2452,64.6214,0,180,162.4733,100,5.7703,3.4778,5.2932,586.372,12,29.465,59.2593,2.6873,-3.8511
37.7,1,39,56,0.0269,0.0787,8.0556,91.5069,0.0518,0.1996,506.636,4.1078,1.6867,172.4736,180,100,2.9194,4.7634,64.3792,291.151,11.82,32.525,73.0769,2.7272,-3.3929
3,3,41,56,0.0546,0.1711,9.1396,89.1152,0.0091,0.182,599.315,6.5427,0,180,169.703,100,6.4704,4.1085,227.5314,234.3376,11.35,34.15,61.5385,1.4518,-2.7468
40.6,4,42,48,0.0551,0.1019,8.3191,91.0296,0.2137,0.1202,1540.0134,11.2909,5.6992,180,180,91.1033,5.5417,10.6452,115.3107,439.263,11.6,34.21,100,2.2309,-5.4041
38.7,6,44,56,0.1768,0.1508,7.8978,91.6536,0,0.0205,302.3934,0.2794,0,180,156.5365,100,6.4383,2.8893,110.5535,272.3413,11.485,34.5,65.3846,2.1904,-3.2365
18.7,7,45,56,0.0694,0.197,7.4794,91.8076,0.0131,0.3152,507.6134,6.668,3.2813,180,180,100,4.5839,3.7622,157.4931,362.2903,11.66,33.435,50,1.7627,-2.7971
28.1,8,46,56,0.0427,0.1226,7.1922,91.706,0.0111,0.3326,261.6976,4.7644,15.6946,180,173.6824,90.0586,3.9612,2.9712,163.2345,309.0649,11.385,32.355,18.5185,2.593,-1.9791
7.8,10,48,40,0.1029,0.1498,9.5278,89.2483,0.0363,0.1422,1039.178,3.7633,1.344,180,168.0429,78.3312,6.2709,7.6044,163.6779,410.5392,10.95,34.03,19.2308,3.0096,-1.8921
-4.4,12,50,40,0.0612,0.215,9.536,88.5186,0.1926,0.3449,1274.0951,0,1.099,180,180,100,5.6891,7.2041,197.738,525.2285,10.75,34.325,81.4815,3.1604,-3.4571
9.3,17,55,56,0.1433,0.2412,8.6132,90.1027,0.0163,0.3555,496.9613,19.5302,1.671,180,160.6319,100,8.6554,3.7913,211.5695,355.4751,11.415,32.515,73.0769,1.1576,-2.8865
20.2,24,62,48,0.1276,0.2249,15.6171,83.5773,0.1393,0.1561,857.5474,16.4946,4.0469,180,180,81.24,6.6609,5.5757,152.2512,410.6599,11.75,33.97,81.4815,3.2681,-2.5336
31.3,31,69,36,0.2481,0.3172,11.202,87.3502,0.0165,0.1383,1134.3624,7.5912,1.3334,180,180,95.203,8.5182,7.0919,246.7596,501.1369,11.005,35.39,100,3.9974,-5.4536
29.1,33,71,56,0.0786,0.2209,9.1425,89.0942,0.1834,0.5073,235.993,0,0,180,172.7785,100,4.7168,4.2424,216.758,366.4044,11.65,33.45,44.4444,2.0925,0.8544
34.1,35,73,56,0.0772,0.224,8.1285,87.5777,0.1657,1.41,662.5612,95.6015,16.759,180,170.9074,94.7069,5.6514,4.7529,254.4047,291.009,12.315,28.555,59.2593,1.7364,-2.046
9.2,41,79,56,0.0806,0.3111,7.4406,90.867,0.0037,0.3542,608.6229,22.81,13.9556,180,180,91.0119,3.9786,5.2558,7.7912,267.5416,11.435,31.71,66.6667,2.3778,-3.1006
50.2,54,92,40,0.0679,0.1344,10.3196,88.7866,0.1027,0.2536,959.4363,32.8077,0.2706,180,180,90.0348,6.6868,12.4015,191.9514,468.9301,11.93,33.68,74.0741,2.9878,-4.6215
50.1,56,94,48,0.2226,0.2013,10.9659,87.9085,0.0303,0.2903,1085.5579,74.7248,0,180,152.239,81.7248,6.6463,5.5347,214.9306,401.8484,12.62,31.295,96.4286,1.2337,-4.9931
8.1,62,100,56,0.0879,0.1667,9.908,88.826,0,0.1832,736.1263,24.7042,20.3962,180,144.9837,100,13.2535,6.3322,230.177,499.0908,11.595,31.59,50,2.6117,-2.6346
35.2,63,101,48,0.1585,0.3885,12.0661,86.3628,0.0273,0.2437,886.1538,7.6085,2.7187,166.099,165.2955,94.3239,4.7121,3.9281,194.012,344.7484,10.87,34.54,73.0769,3.6461,-1.3658
22,66,104,56,0.2223,0.2871,12.2388,86.8981,0.0352,0.1482,780.7602,9.8017,0.8401,180,180,100,3.6211,5.3219,113.3499,339.6328,11.92,33.115,80.7692,4.4582,-4.4834
20.5,74,112,56,0.0938,0.165,6.9269,90.638,0.0035,0.2519,720.2687,2.778,6.2701,180,180,100,5.3376,5.9031,110.1031,380.8482,11.69,32.755,55.5556,2.5972,0.0279
-12.6,76,114,40,0.0777,0.157,10.5196,88.4429,0.0356,0.1343,1362.2882,106.4108,0,180,147.7847,38.6497,6.9219,3.8638,2.1457,594.1329,11.69,31.835,84.6154,3.7255,-0.7207
30.4,77,115,56,0.0457,0.2364,7.2246,91.1962,0,0.4688,313.9943,4.9788,14.8108,163.0324,180,94.7498,3.5098,4.1257,153.9802,278.994,10.84,34.6,34.6154,4.7769,-1.2134
34.2,78,116,72,0.0427,0.1525,4.7637,92.7232,0,0.2989,291.2097,8.2409,0,180,173.679,92.9233,3.9805,2.5187,108.0776,225.6726,11.39,31.785,53.8462,4.3062,-4.6666
14.5,81,119,48,0.0555,0.1463,6.5662,92.2904,0,0.1076,799.0931,26.0395,9.0861,180,157.3856,93.9515,6.4566,3.8028,5.1641,690.7617,11.365,34.37,84.6154,3.1385,-4.5953
26.5,82,120,48,0.0957,0.1845,8.4569,90.3993,0.0104,0.0749,1242.6804,102.6001,9.4706,180,152.4921,94.4471,6.8166,1.7452,2.434,447.9805,11.67,32.315,74.0741,4.7509,-4.0455
23.7,83,121,56,0.1326,0.2938,7.7678,91.3938,0.034,0.1702,822.6099,5.493,6.5477,180,166.0275,100,6.7379,3.7989,93.54,291.9428,11.34,33.73,80.7692,2.4588,-5.3903
23.6,85,123,72,0.0936,0.1501,6.6602,92.6752,0.1092,0.1735,388.95,5.9322,0,180,180,100,3.542,8.4481,74.492,268.8227,12.065,32.235,37.037,3.2647,-5.1634
30.7,89,127,72,0.0971,0.304,4.8408,94.0403,0.0106,0.2132,679.3004,33.517,0,180,180,100,6.3897,3.3907,58.4347,233.5089,11.41,33.395,30.7692,2.9391,-4.5791
2.3,90,128,48,0.1013,0.3296,11.891,86.9085,0.0792,0.3222,804.5313,86.7381,0.278,163.4304,173.2931,100,7.8346,2.9072,27.7297,413.3048,11.155,33.465,61.5385,3.1963,-2.6226
16.5,95,133,72,0.0732,0.178,7.0345,92.374,0.0079,0.1583,601.0356,34.5891,0,172.6052,167.9731,91.8512,4.6972,2.8628,214.5895,291.5179,11.825,33.41,100,1.6235,-2.4457
-42.8,96,134,40,0.1321,0.0918,10.2646,88.9751,0.1208,0.2239,945.448,104.4816,4.1309,180,160.3179,100,5.8004,5.7086,242.1742,244.251,11.875,33.155,59.2593,1.8804,-0.8262
29,97,135,56,0.1965,0.3313,9.7658,88.4564,0.0944,0.3852,1308.7111,160.0517,23.7411,170.2251,175.2458,100,4.3854,2.3172,1.6329,548.8601,11.955,33.54,30.7692,3.4495,-4.2911
22.9,98,136,48,0.0369,0.2013,6.4636,92.4781,0.1191,0.379,1198.293,20.7688,3.6297,180,180,84.0899,6.2962,6.5105,235.3224,314.4835,11.505,33.015,89.2857,3.7204,-4.1044
24.8,101,139,56,0.0303,0.1143,6.4616,92.4777,0.1715,0.3681,628.6326,16.0167,7.8237,180,180,100,5.8513,7.0676,262.4218,449.9508,11.68,33.85,46.1538,1.4947,-4.1032
14.5,102,140,48,0.2463,0.2284,14.5199,83.9057,0.3067,0.2007,1005.0054,23.7565,49.7007,162.628,180,1.1454,3.4434,3.2176,113.8371,545.6514,11.19,34.575,53.8462,4.5719,-1.2955
27.2,104,142,48,0.0379,0.0982,7.8692,91.142,0.0103,0.2653,409.0895,7.7829,0,180,172.8836,94.1049,6.2758,4.9185,145.8547,526.8591,11.1,34.145,85.1852,2.9443,-0.6872
6.3,106,144,88,0.2325,0.213,7.0735,92.2311,0.0304,0.0869,393.7785,0.2786,0,180,167.0132,100,3.7284,11.4581,63.2474,278.3972,11.585,34.01,26.9231,5.1054,-0.9948
39.7,109,147,40,0.0683,0.1433,13.2056,85.8197,0,0.135,922.8828,116.8746,5.5471,180,151.341,100,9.8267,3.905,72.5718,411.3343,11.175,32.21,61.5385,1.9787,-3.4114
36.2,111,149,56,0.1762,0.1762,10.9701,88.0223,0,0.0801,1044.0571,87.468,2.448,180,173.3704,100,6.702,2.6728,110.0421,173.3943,11.78,32.03,69.2308,3.2023,-1.6097
-12.5,118,156,40,0.291,0.2338,11.7122,86.125,0,0.0763,1229.1167,129.2833,11.2652,180,169.7894,100,3.0956,3.9874,232.4769,272.5231,10.89,33.68,81.4815,1.9681,-3.2719
26.7,172,210,40,0.2587,0.3603,12.3539,85.2332,0.0847,0.4127,888.9467,21.8439,1.3757,180,180,93.4471,5.0237,6.8653,237.4406,539.2415,10.92,33.06,42.8571,0.1586,1.33
19.9,174,212,72,0.1111,0.2806,7.7764,91.2864,0.1403,0.2104,692.7069,7.0222,0.8254,180,180,91.3708,4.9548,10.1987,84.8167,314.3149,11.815,32.84,64,3.0697,-2.3096
22.4,178,216,180,0.2634,0.5823,13.7352,83.9392,0.345,0.5156,160.254,16.6889,0,180,147.7978,100,6.5428,3.8995,153.6515,201.3122,12.455,31.435,40,4.0823,-3.6878
39.4,181,219,48,0.0449,0.168,8.1996,90.3049,0.1098,0.6138,2240.7163,134.0214,2.7374,180,169.5232,92.5434,6.4647,8.1935,269.0605,536.8771,11.63,33.3,96.4286,4.3867,-3.6641
9.3,182,220,48,0.1153,0.2388,8.6947,90.5418,0.0487,0.156,1015.6152,47.5387,11.3041,180,163.3006,92.4725,5.1346,5.1495,91.764,569.8829,11.52,33.46,70.3704,5.2512,-1.9109
25.2,184,222,56,0.1182,0.1711,9.5343,88.206,0.4516,0.1817,1056.9855,66.6116,21.2418,180,154.3865,100,6.1565,1.89,1.3919,510.7597,11.69,32.775,77.7778,3.7107,-4.4815
31.2,186,224,56,0.0612,0.2886,9.6485,88.9629,0.0997,0.4092,1006.4495,38.2377,0,180,180,89.9176,5.0418,7.839,177.8031,386.5202,11.24,33.82,48,5.2695,-4.1064
8.8,190,228,56,0.0431,0.1743,7.0047,91.5114,0,0.1653,545.2077,41.2511,0,180,166.6237,91.7894,6.9415,3.742,94.0418,216.9023,11.29,30.825,84.6154,4.1068,-4.2636
26.4,212,250,36,0.3117,0.2918,15.0697,83.5628,0,0.081,1754.993,75.9863,26.5189,180,165.4076,94.2025,11.7216,8.3706,1.3353,728.8566,11.8,32.56,96,1.9957,-1.996
18.4,251,289,40,0.1167,0.3691,11.3928,87.5487,0.1073,0.2745,1364.0925,117.7837,10.475,180,180,100,5.1624,4.9089,205.2017,474.556,11.675,35.65,100,3.202,-2.754
29.2,252,290,56,0.2025,0.3284,10.2908,88.7585,0.0876,0.1733,1076.3079,95.7857,2.9947,180,163.3929,100,4.1238,8.0671,151.5693,332.2721,11.855,33.875,66.6667,2.4954,-2.0883
-9.3,255,293,40,0.0825,0.2047,9.2928,88.1249,0.1651,0.2095,1406.948,197.9485,21.4108,180,166.9594,100,5.4469,3.422,2.1932,467.4175,11.48,31.91,100,3.695,-0.5743
21.3,1,295,88,0.084,0.2997,4.0297,92.7624,0.0114,0.4245,202.2474,6.3853,0,180,180,89.4941,4.1343,6.2256,3.5804,271.3224,11.215,33.95,34.6154,2.7378,-3.113
32.4,3,297,48,0.1534,0.2569,8.8973,90.3634,0.0055,0.1109,778.9731,29.0172,21.043,180,167.0426,76.9883,6.3759,6.8229,159.908,323.7802,11.315,33.005,69.2308,3.1997,-1.816
31.4,7,301,48,0.1217,0.4029,9.0532,89.7348,0.0394,0.2126,609.9237,23.305,8.1297,180,180,92.3456,4.2702,5.2872,196.3798,371.096,11.245,34.18,34.6154,3.5442,-1.2805
16.4,8,302,40,0.2147,0.2474,9.3711,86.6111,0.0229,0.2228,818.666,106.5387,1.614,180,138.3655,94.1388,4.6499,4.2285,1.614,708.3338,11.72,32.45,88.4615,4.6681,-3.3657
17.1,15,309,56,0.0544,0.1275,9.7114,88.4772,0.0563,0.4125,503.1469,65.38,4.6449,180,141.5899,86.2816,7.5789,3.139,35.4919,479.9233,12.445,29.725,73.0769,2.7912,-0.7368
4.3,16,310,72,0.0852,0.1685,8.0737,90.2983,0.0379,0.3919,454.3324,32.0641,0,180,157.0776,100,5.8974,4.8415,156.1049,351.336,11.355,32.12,55.5556,2.3663,-0.7294
36.3,19,313,48,0.1953,0.2467,11.4106,86.1292,0.1165,0.3666,1227.7661,104.9964,16.3087,180,179.5602,100,7.0639,2.7377,1.3817,535.1415,11.18,33.63,80.7692,3.0186,-0.903
31.7,27,321,56,0.1272,0.1769,10.9381,88.3247,0,0.0829,792.7136,37.1743,21.1379,180,138.3661,94.267,5.0638,2.4683,8.6781,589.2945,11.4,35.19,61.5385,2.3964,-3.8293
-0.7,28,322,56,0.0597,0.3232,7.5022,90.8835,0.0913,0.404,674.1205,14.3401,4.6591,180,180,64.758,8.0503,6.5832,124.5876,545.3367,11.545,33.995,61.5385,3.2364,-2.2107
26,34,328,48,0.2894,0.4499,10.6482,87.7076,0.0468,0.2191,1039.7961,1.642,1.1012,157.2008,180,94.3478,4.3648,5.6677,219.6047,452.892,10.94,33.18,38.4615,3.1433,-1.9877
20,38,332,56,0.0612,0.1741,14.1644,82.8095,0,0.4591,1054.8179,213.4373,13.1808,180,167.601,75.9085,5.5928,2.7987,2.1908,503.086,12.125,29.24,59.2593,3.556,-1.822
44.9,45,5,56,0.2733,0.5202,10.942,87.1799,0.1305,0.3227,484.2107,24.5464,10.9293,180,180,100,5.5261,6.0613,131.1052,533.1328,11.58,33.46,55.5556,3.3169,0.2235
29.7,49,9,40,0.0839,0.2082,10.0359,87.8444,0,0.4445,1253.6685,141.0269,2.4087,180,151.6765,100,3.3322,2.833,2.9568,513.3946,11.76,33.23,65.3846,2.1864,-0.4717
45,74,34,56,0.2209,0.3681,9.4282,89.1049,0,0.1227,1026.8496,27.5079,1.084,180,170.6823,100,10.5423,5.9637,58.1646,804.5609,11.42,35.495,100,1.9072,-3.2916
