description,name,geometry
,Top of hill,-119.057751,36.35993"
,WM11,-119.061028,36.359936"
,WM12,-119.061049,36.358383"
,WM21,-119.060948,36.356827"
,WM24,-119.060993,36.355149"
,WM42,-119.059571,36.356065"
,WM52,-119.057943,36.357073"
,WM54,-119.055584,36.358083"
,WM63,-119.054681,36.359896"
,WM73,-119.058207,36.355387"
,WM81,-119.057358,36.353561"
,WM83,-119.058379,36.352106"
,WM92,-119.06124,36.3532"
,Power,-119.059645,36.35416"
,Roose F64W MR P83,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.056453,36.359135,0.0 -119.055495,36.359108,0.0 -119.055236,36.359788,0.0 -119.056223,36.359798,0.0 -119.056453,36.359135,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Roose F64E MR P112,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.055086,36.35912,0.0 -119.053732,36.359098,0.0 -119.053464,36.359787,0.0 -119.054817,36.359805,0.0 -119.055086,36.35912,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Roose F66 MR P43,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.05604,36.359878,0.0 -119.055311,36.359881,0.0 -119.055033,36.360562,0.0 -119.05584,36.360567,0.0 -119.05604,36.359878,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Roose F63W MR P33,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.055292,36.359858,0.0 -119.054147,36.359871,0.0 -119.053933,36.360535,0.0 -119.055025,36.360562,0.0 -119.055292,36.359858,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Roose F54NW MR P53,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.056462,36.359078,0.0 -119.056457,36.358605,0.0 -119.054796,36.358575,0.0 -119.054757,36.359033,0.0 -119.056462,36.359078,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Roose F54NE MR P55,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.054757,36.35858,0.0 -119.054424,36.358566,0.0 -119.054376,36.359016,0.0 -119.054723,36.359031,0.0 -119.054757,36.35858,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Roose F53C MR P55,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.057558,36.355978,0.0 -119.056979,36.355983,0.0 -119.05696,36.356946,0.0 -119.057574,36.356963,0.0 -119.057558,36.355978,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Roose F53W MR P43,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.058157,36.356581,0.0 -119.058215,36.356005,0.0 -119.057566,36.355987,0.0 -119.057575,36.356967,0.0 -119.058081,36.356979,0.0 -119.058157,36.356581,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Roose 81C MR P143,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.057622,36.35326,0.0 -119.056511,36.353232,0.0 -119.05638,36.353394,0.0 -119.056345,36.354223,0.0 -119.057585,36.354249,0.0 -119.057622,36.35326,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Roose F92C MR P55,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.061776,36.352279,0.0 -119.060984,36.352244,0.0 -119.060957,36.35324,0.0 -119.061759,36.353259,0.0 -119.061776,36.352279,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Roose F92E MR P33,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.060955,36.352249,0.0 -119.059865,36.35224,0.0 -119.059855,36.353189,0.0 -119.060938,36.353239,0.0 -119.060955,36.352249,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
