Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-13 18:32:40",1302,"P112","Roose","01_15","2017-12-13 10:30:25","2017-12-13 18:32:40","Roose Pro 112 Mandarin ",23,1302,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Stem,Stem Rot,Dark Scar_duplicate_column_1,Light Scar_duplicate_column_1,Ignore,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,IQS 3 avg,IQS 4 avg,Fruit,Rough skin,Ridges,Creases,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-13 18:32:57",631,1,140.1,36.7,51.7,88.4,0,72.9,69.5,191.7,3,"D",6,4,1,149,239,1302,"mamm","D St","Q1",0,0,0,0,0,0,0,0,235.2,1,0,1,28,"D",1,0,0,0,0,0,0.5082,0,0,0.0335,0.3965,99.0562,0,7986.7866,7437.7773,38.7492,0,0,510.26,98.603,180,177.9483,0,100,3.5052,1.4123,191.6827,69.4557,72.8668,0,0,11.2886,121.5361,12.615,60.83,59.71,27.2,90.9091,9.0909,0,0,72.8668,69.4557,191.6827,121,687583,2.1392,-2.9669
"2017-12-13 18:33:56",195,1,94,21,36.5,57.5,0,58.2,56,94,0,"A",4,1,1,181,115,1302,"larg","A","Q1",0,0,0,0,0,0,0,0,235.2,1,0,1,28,"A",1,0.3901,0.1047,77.1678,22.0235,0.0412,0.2569,0,0,0,0,0.0032,0,150.9996,0,0,0,0,150.9996,95.2558,180,164.5716,0,100,4.5236,4.8596,94.0264,55.9977,58.2306,0,0,21.7555,31.4522,13.31,152.8,3.97,34.4,100,0,0,0,58.2306,55.9977,94.0264,153,688127,3.6982,-2.8312
"2017-12-13 18:33:56",196,1,85.7,20.7,32.5,53.2,0,57.5,55.6,89.2,0,"A",4,1,1,182,116,1302,"larg","A","Q1",0,0,0,0,0,0,0,0,235.2,1,0,1,28,"A",1,0.3649,0.1075,77.9707,21.0518,0.2509,0.2346,0,0,0,0,0.0033,0,114.285,0,0,0,0,114.285,95.6776,180,166.7937,0,100,6.1675,4.4192,89.197,55.6052,57.4536,0,0,1.742,49.9796,13.895,132.445,0.95,33.955,100,0,0,0,57.4536,55.6052,89.197,154,688128,3.8552,-2.4218
"2017-12-13 18:33:57",199,1,138.6,34.1,52.25,86.35,0,67.1,65.6,140.4,0,"A",5,1,1,185,119,1302,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.1,1,0,1,28,"A",1,0.5911,0.0794,81.3846,17.5966,0.1893,0.0397,0.0981,0,0,0,0.0117,0,116.531,0,2.2879,0,0,114.2431,95.7274,180,163.4022,0,81.2986,6.645,4.3636,140.4086,65.6243,67.1169,0,0,3.0648,83.945,12.84,198.72,2.31,28.81,95,5,0,0,67.1169,65.6243,140.4086,157,688131,4.3771,-2.7231
"2017-12-13 18:33:57",200,1,97.7,25.2,36.25,61.45,0,60.6,59.5,105.4,0,"A",4,1,1,186,120,1302,"larg","A","Q1",0,0,0,0,0,0,0,0,235.7,1,0,1,28,"A",1,0.545,0.0775,81.6471,17.2571,0.3758,0.0516,0.0316,0,0,0,0.0029,0,102.1574,0,5.4289,0,0,96.7285,96.1655,180,167.7336,0,100,8.6129,3.6678,105.3587,59.5293,60.6217,0,0,28.8591,92.0962,12.78,147.025,1.73,33.08,89.4737,0,0,10.5263,60.6217,59.5293,105.3587,158,688132,4.3587,-2.5428
"2017-12-13 18:33:58",215,1,111.2,40.1,35.55,75.65,0,63.3,60.6,118,0,"A",4,1,1,201,135,1302,"larg","A","Q1",0,0,0,0,0,0,0,0,235.7,1,0,1,28,"A",1,0.5026,0.121,79.7321,19.3416,0.1316,0.1579,0,0,0,0,0.0026,0,482.0121,246.1544,7.4306,0,0,228.4272,95.3958,180,166.2191,0,100,6.9439,4.715,118.037,60.6391,63.3016,0,0,7.1789,95.2756,12.72,144.875,1.82,34.27,100,0,0,0,63.3016,60.6391,118.037,173,688147,3.8857,-4.2678
"2017-12-13 18:33:59",218,1,159.2,30.7,64.25,94.95,0,69.8,68.5,164,0,"A",5,1,1,204,138,1302,"jumb","A","Q1",0,0,0,0,0,0,0,0,234.5,1,0,1,28,"A",1,0.2847,0.0977,76.1166,17.5462,5.9485,0,0,0,0,0,0,0,240.3894,15.5722,4.2603,0,0,220.5569,97.2507,180,160.6511,0,100,8.3256,2.7846,164.0093,68.4772,69.7663,0,0,25.2317,101.9592,12.06,237.115,0,24.1,68.4211,31.5789,0,0,69.7663,68.4772,164.0093,176,688150,2.4886,-5.7903
"2017-12-13 18:33:59",219,1,131.1,34.9,48.1,83,0,67.1,65.1,138.4,0,"A",5,1,1,205,139,1302,"jumb","A","Q1",0,0,0,0,0,0,0,0,236,1,0,1,28,"A",1,0.5498,0.0752,79.8562,18.9902,0.3454,0.1762,0,0,0,0,0,0,175.0839,0,10.8918,0,0,164.1921,93.6712,180,171.2704,0,100,11.0495,5.8242,138.41,65.0645,67.148,0,0,5.1395,86.0756,13.105,173.96,4.38,29.315,100,0,0,0,67.148,65.0645,138.41,177,688151,4.2019,-2.1938
"2017-12-13 18:33:59",226,1,126.3,37.1,44.6,81.7,0,64.6,63.3,129.6,0,"A",5,1,1,212,146,1302,"jumb","A","Q1",0,0,0,0,0,0,0,0,236,1,0,1,28,"A",1,0.2968,0.0989,79.1305,20.0015,0.2424,0.1607,0.0544,0,0,0,0.0099,0,264.967,162.9906,7.8514,0,0,94.125,95.9753,180,174.5782,0,90.9913,6.3834,4.1143,129.6012,63.2866,64.5683,0,0,1.4346,29.119,12.84,176.535,9.85,32.295,89.4737,10.5263,0,0,64.5683,63.2866,129.6012,184,688158,2.0581,-2.3946
"2017-12-13 18:34:00",227,1,105.4,26.5,39.45,65.95,0,61.4,56.5,107,0,"A",4,1,1,213,147,1302,"larg","A","Q1",0,0,0,0,0,0,0,0,234.7,1,0,1,28,"A",1,0.3852,0.0872,77.5194,21.4487,0.3852,0.0309,0.1322,0,0,0,0.0028,0,708.6305,422.4651,36.8771,0,0,249.2885,92.5076,180,172.2598,0,100,11.788,6.5631,106.9867,56.499,61.4415,0,0,25.5926,129.3768,12.625,150.355,6.1,33.575,100,0,0,0,61.4415,56.499,106.9867,185,688159,3.8698,-2.0695
