Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-13 18:39:21",1304,"P112","Roose","01_02","2017-12-13 10:36:30","2017-12-13 18:39:22","Roose Pro 112 Mandarin ",23,1304,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Stem,Stem Rot,Dark Scar_duplicate_column_1,Light Scar_duplicate_column_1,Ignore,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,IQS 3 avg,IQS 4 avg,Fruit,Rough skin,Ridges,Creases,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-13 18:39:36",388,1,144.6,29.1,57.75,86.85,0,73.3,71,191.1,3,"D",6,4,1,242,242,1304,"mamm","D St","Q1",0,0,0,0,0,0,0,0,235.1,1,0,1,28,"D",1,0,0,0,0,0,0.6044,0,0,0.0094,0.1036,99.2789,0,9957.6689,9647.292,43.8944,0,0,266.4843,98.7291,180,178.2016,0,100,3.4184,1.2822,191.1313,70.9619,73.2605,0,0,27.958,124.7411,14.235,304.28,38.04,27.55,100,0,0,0,73.2605,70.9619,191.1313,214,691260,4.1113,-2.5712
"2017-12-13 18:40:32",904,1,103.9,19,42.45,61.45,0,60.2,58.5,108.8,0,"A",4,1,1,246,90,1304,"larg","A","Q1",0,0,0,0,0,0,0,0,234.7,1,0,1,28,"A",1,0.5146,0.2714,79.5403,19.5917,0.0452,0,0.0198,0,0,0,0.0085,0,181.3624,94.9724,4.6175,0,0,81.7725,97.3582,168.4321,160.9831,0,100,3.0047,2.6782,108.7663,58.4742,60.1511,0,0,2.7813,78.0147,13.72,166.985,5.49,31.46,100,0,0,0,60.1511,58.4742,108.7663,218,691776,4.5177,-1.9699
"2017-12-13 18:40:33",912,1,84.2,27.2,28.5,55.7,0,55.1,53.3,84.9,0,"A",3,1,1,254,98,1304,"medi","A","Q1",0,0,0,0,0,0,0,0,235.8,1,0,1,28,"A",1,0.5394,0.1551,75.4551,23.81,0.0034,0,0.0034,0,0,0,0.0202,0,148.5274,46.1445,1.6738,0,0,100.709,95.2357,180,144.452,0,100,2.8564,4.8814,84.9472,53.2576,55.0612,0,0,5.7181,92.8695,13.5,140.91,2.56,33.895,100,0,0,0,55.0612,53.2576,84.9472,226,691784,2.1489,-2.0344
"2017-12-13 18:40:34",917,1,118.6,19.2,49.7,68.9,0,63,60.3,121.8,0,"A",4,1,1,3,103,1304,"larg","A","Q1",0,0,0,0,0,0,0,0,235.2,1,0,1,28,"A",1,0.7252,0.1517,78.2555,20.7236,0.126,0.0077,0,0,0,0,0,0,398.8024,208.2083,0,0,0,190.5941,95.6119,144.5776,180,0,100,3.4873,4.492,121.7729,60.3433,63.0329,0,0,2.7682,113.9103,12.44,176.355,3.93,31.72,100,0,0,0,63.0329,60.3433,121.7729,231,691789,5.0472,-1.5863
"2017-12-13 18:40:35",929,1,114.2,9.8,52.2,62,0,62.6,59.8,118.4,0,"A",4,1,1,15,115,1304,"larg","A","Q1",0,0,0,0,0,0,0,0,235.2,1,0,1,28,"A",1,0.6697,0.2312,75.6644,23.1769,0.1435,0.0053,0.085,0,0,0,0.0133,0,676.4086,342.2707,24.3448,0,0,309.7932,96.9486,144.2677,156.8062,0,100,4.4305,3.109,118.4165,59.8012,62.6122,0,0,10.7739,90.6264,13.565,168.23,7.2,34.35,84.2105,15.7895,0,0,62.6122,59.8012,118.4165,243,691801,3.7967,-3.3672
"2017-12-13 18:40:35",933,1,126.3,27.4,49.45,76.85,0,64.8,63.6,133.3,0,"A",5,1,1,19,119,1304,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.3,1,0,1,28,"A",1,0.1963,0.0883,83.1984,15.9771,0.4098,0.0932,0.0049,0,0,0,0.027,0,161.5735,0,7.82,0,0,153.7535,96.8722,180,173.8636,0,100,8.2386,3.1759,133.3464,63.5987,64.8375,0,0,27.7632,99.3497,11.43,204.565,4.69,29.34,94.4444,5.5556,0,0,64.8375,63.5987,133.3464,247,691805,4.1081,-3.1804
"2017-12-13 18:40:35",934,1,143.2,32,55.6,87.6,0,68.1,65.7,154.5,0,"A",5,1,1,20,120,1304,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.8,1,0,1,28,"A",1,0.5872,0.0731,80.1282,19.1448,0.028,0.0194,0,0,0,0,0.0108,0,581.4821,327.7495,9.5297,0,0,244.2029,96.8596,143.4815,180,0,100,4.7439,3.195,154.4641,65.7156,68.1079,0,0,6.6248,107.1663,11.93,211.185,6.85,26.54,77.7778,22.2222,0,0,68.1079,65.7156,154.4641,248,691806,4.5527,-4.2606
"2017-12-13 18:40:36",935,1,116.2,20.7,47.75,68.45,0,64.1,61.1,124.5,0,"A",5,1,1,21,121,1304,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.1,1,0,1,28,"A",1,0.5341,0.115,77.8141,21.2966,0.1431,0,0.0716,0,0,0,0.0102,0,363.3857,220.8845,12.0521,0,0,130.4491,96.0331,180,165.3177,0,100,6.9812,3.6992,124.4599,61.1332,64.123,0,0,2.5887,37.6482,12.945,191.585,7.62,28.055,94.4444,5.5556,0,0,64.123,61.1332,124.4599,249,691807,5.8446,-2.306
"2017-12-13 18:40:36",940,1,113.2,10.8,51.2,62,0,62.5,60.6,116.3,0,"A",4,1,1,26,126,1304,"larg","A","Q1",0,0,0,0,0,0,0,0,235.2,1,0,1,28,"A",1,0.5034,0.1312,72.9047,25.719,0.3294,0.0857,0.2356,0,0,0,0.075,0,373.313,225.2479,0,0,0,148.0651,97.3675,180,165.9849,0,58.9081,6.2947,2.6678,116.2981,60.56,62.4583,0,0,24.4282,66.3994,13.165,168.745,3.2,32.92,100,0,0,0,62.4583,60.56,116.2981,254,691812,3.8538,-0.6855
"2017-12-13 18:40:37",945,1,100.9,12,44.45,56.45,0,60.1,58.7,103.8,0,"A",4,1,1,31,131,1304,"larg","A","Q1",0,0,0,0,0,0,0,0,234.9,1,0,1,28,"A",1,0.4251,0.1261,77.3393,21.7372,0.258,0.085,0.0029,0,0,0.0029,0.0117,0,254.7071,60.7096,6.6432,0,0,187.3543,96.6632,180,170.2942,0,100,5.7764,3.3958,103.8408,58.673,60.1278,0,0,23.0748,64.699,13.535,148.255,2.94,33.24,100,0,0,0,60.1278,58.673,103.8408,3,691817,5.0258,-2.9525
