Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-13 18:15:05",1298,"P112","Roose","04_02","2017-12-13 10:11:42","2017-12-13 18:15:05","Roose Pro 112 Mandarin ",23,1298,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Stem,Stem Rot,Dark Scar_duplicate_column_1,Light Scar_duplicate_column_1,Ignore,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,IQS 3 avg,IQS 4 avg,Fruit,Rough skin,Ridges,Creases,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-13 18:15:20",694,1,142.3,32.2,55.05,87.25,0,72.7,72.1,190.4,3,"D",6,4,1,140,188,1298,"mamm","D St","Q1",0,0,0,0,0,0,0,0,236.5,1,0,1,28,"D",1,0,0,0,0,0,0.5751,0,0,0.0075,0.088,99.3219,0,8955.9717,8369.8848,36.0486,0,0,550.0374,98.521,180,169.9037,0,100,3.6837,1.4933,190.3884,72.0646,72.6996,0,0,21.7682,116.723,13.495,63.01,54,27.99,100,0,0,0,72.6996,72.0646,190.3884,112,677846,2.9464,-2.7027
"2017-12-13 18:16:30",357,1,116.2,24.3,45.95,70.25,0,64.1,62.5,120.8,0,"A",5,1,1,15,163,1298,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.1,1,0,1,28,"A",1,0.2375,0.1187,84.2109,15.0431,0.1497,0.2246,0,0,0,0,0.0052,0,298.5146,54.6494,8.8558,0,0,235.0094,96.2004,170.6999,162.4859,0,100,12.1634,2.6071,120.7802,62.524,64.0922,0,0,7.1671,76.3204,11.52,230.34,5.905,32.36,89.4737,10.5263,0,0,64.0922,62.524,120.7802,243,678489,3.4939,-1.9139
"2017-12-13 18:16:30",358,1,110.6,15.5,47.55,63.05,0,62.7,60.3,116.2,0,"A",4,1,1,16,164,1298,"larg","A","Q1",0,0,0,0,0,0,0,0,236.5,1,0,1,28,"A",1,0.2453,0.0853,84.0706,15.1721,0.248,0.12,0.0373,0,0,0,0.0107,0,146.4448,0,7.0305,0,0,139.4143,95.7101,180,170.2425,0,20.0084,3.4906,4.3861,116.1811,60.2857,62.6525,0,0,15.4509,84.2751,13.24,177.81,7.4,31.76,100,0,0,0,62.6525,60.2857,116.1811,244,678490,3.4977,-1.7093
"2017-12-13 18:16:30",360,1,119.6,27.7,45.95,73.65,0,64.7,62,123.5,0,"A",5,1,1,18,166,1298,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.1,1,0,1,28,"A",1,0.1487,0.0731,86.0384,13.5834,0.005,0.1387,0,0,0,0,0.0025,0,284.1288,186.6055,0,0,0,97.5233,94.489,180,158.6859,0,100,7.1493,5.6703,123.4991,61.9874,64.6526,0,0,2.5781,101.7207,12.2,174.91,3.4,31.51,100,0,0,0,64.6526,61.9874,123.4991,246,678492,3.755,-3.1047
"2017-12-13 18:16:30",361,1,100.3,28,36.15,64.15,0,61.1,58.2,104.1,0,"A",4,1,1,19,167,1298,"larg","A","Q1",0,0,0,0,0,0,0,0,234.9,1,0,1,28,"A",1,0.6205,0.0747,80.424,18.4701,0.2585,0.1436,0,0,0,0,0,0,157.676,0,1.733,0,0,155.943,94.4041,180,151.0343,0,100,9.35,5.345,104.0758,58.2048,61.0795,0,0,4.6214,78.9942,13.95,155.48,3.25,34.275,100,0,0,0,61.0795,58.2048,104.0758,247,678493,3.5881,0.3317
"2017-12-13 18:16:30",362,1,63.5,23.6,19.95,43.55,0,50.9,48,63.8,0,"A",3,1,1,20,168,1298,"medi","A","Q1",0,0,0,0,0,0,0,0,235.3,1,0,1,28,"A",1,0.5597,0.5759,77.6151,18.7061,0.9207,0.365,0.0365,0,0,0.1785,1.014,0,373.0078,294.9061,2.0563,0,0,76.0455,92.8257,180,143.1233,0,93.6217,3.9629,7.4425,63.8319,47.978,50.8934,0,0,1.7291,115.558,13.53,144.885,4.1,33.13,87.5,12.5,0,0,50.8934,47.978,63.8319,248,678494,2.2148,-2.8087
"2017-12-13 18:16:31",365,1,140.2,42.4,48.9,91.3,0,68,65.8,147,0,"A",5,1,1,23,171,1298,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.4,1,0,1,28,"A",1,0.4092,0.0697,81.9519,16.9398,0.3192,0.2675,0.0067,0,0,0,0.0247,0,329.162,162.9135,12.0927,0,0,154.1558,94.4828,180,172.843,0,100,9.8706,5.0939,147.0437,65.8138,67.9716,0,0,27.6299,74.8881,11.99,209.645,5.22,27.375,70,15,0,15,67.9716,65.8138,147.0437,251,678497,3.1535,-2.2136
"2017-12-13 18:16:31",366,1,141.8,40.6,50.6,91.2,0,69,67.1,147.2,0,"A",5,1,1,24,172,1298,"jumb","A","Q1",0,0,0,0,0,0,0,0,235,1,0,1,28,"A",1,0.277,0.0658,82.5815,16.8964,0,0.1567,0,0,0,0,0.0114,0,227.3015,0,6.1237,0,0,221.1778,94.9649,180,158.2466,0,100,11.938,3.9052,147.2385,67.121,69.0265,0,0,16.9277,45.3989,12.325,189.72,3.44,29.71,90.4762,9.5238,0,0,69.0265,67.121,147.2385,252,678498,4.2751,-3.1374
"2017-12-13 18:16:31",370,1,205.8,34,85.9,119.9,0,79.3,76.8,218.2,0,"A",7,1,1,28,176,1298,"colo","A","Q1",0,0,0,0,0,0,0,0,237.4,1,0,1,28,"A",1,0.408,0.0323,85.7714,13.5742,0.0051,0.1734,0,0,0,0,0.0289,0,553.9662,262.4517,8.0678,0,0,283.4467,93.311,180,163.4234,0,100,13.6289,5.145,218.202,76.7518,79.2955,0,0,25.5037,76.4243,10.855,370.84,10.55,37.11,50,50,0,0,79.2955,76.7518,218.202,0,678502,2.71,-1.7396
"2017-12-13 18:16:31",371,1,158.8,48.4,55.2,103.6,0,72,67.2,172.1,0,"A",6,1,1,29,177,1298,"mamm","A","Q1",0,0,0,0,0,0,0,0,235.2,1,0,1,28,"A",1,0.3333,0.1468,83.9681,15.3872,0.0496,0,0.0893,0,0,0,0.0159,0,564.3018,299.743,3.4094,0,0,261.1494,94.6428,144.3007,172.6741,0,89.6973,6.1596,5.506,172.1023,67.1726,71.9636,0,0,20.4281,70.074,11.49,228.73,10.52,30.61,78.9474,21.0526,0,0,71.9636,67.1726,172.1023,1,678503,2.9794,-0.9025
