Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-14 16:33:14",1399,"P112","Roose","03_07","2017-12-14 08:29:36","2017-12-14 16:33:14","Roose Pro 112 Mandarin ",23,1399,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Stem,Stem Rot,Dark Scar_duplicate_column_1,Light Scar_duplicate_column_1,Ignore,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,IQS 3 avg,IQS 4 avg,Fruit,Rough skin,Ridges,Creases,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-14 16:33:29",241,1,143.9,27.3,58.3,85.6,0,73.9,70.5,192,3,"D",6,4,1,119,203,1399,"mamm","D St","Q1",0,0,0,0,0,0,0,0,235.6,1,0,1,28,"D",1,0,0,0,0,0,0.6888,0,0,0,0.0432,99.2624,0,10339.9492,9962.0049,1.9488,0,0,375.9938,98.5687,180,176.2014,0,92.6491,4.3708,1.4437,191.9653,70.5183,73.8533,4.3478,0,24.5503,130.8846,12.845,44,55.83,28.08,100,0,0,0,73.8533,70.5183,191.9653,91,924353,2.8492,-2.703
"2017-12-14 16:34:29",797,1,153.1,25.9,63.6,89.5,0,69.9,68.1,160,0,"A",5,1,1,163,91,1399,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.4,1,0,1,28,"A",1,0.1621,0.1066,73.8559,24.9136,0.708,0.2282,0.0043,0,0,0,0.0064,0,131.0806,35.4101,0,0,0,95.6705,95.9415,180,168.2564,0,81.1012,6.6201,4.1365,160.0235,68.1151,69.9054,0,0,9.9148,40.238,11.635,245.19,6.38,21.495,90,10,0,0,69.9054,68.1151,160.0235,135,924909,3.1154,-2.6046
"2017-12-14 16:34:30",806,1,84.8,23.7,30.55,54.25,0,57.4,55,87.4,0,"A",4,1,1,172,100,1399,"larg","A","Q1",0,0,0,0,0,0,0,0,236.7,1,0,1,28,"A",1,0.1304,0.1207,76.0044,23.314,0.1207,0.1891,0.0065,0,0,0,0.1011,0,188.8652,51.1419,44.7316,0,0,92.9916,94.8638,180,177.5172,0,83.5916,10.4441,4.2072,87.4136,54.9587,57.4299,0,0,2.9007,70.1978,12.08,156.75,6.16,32.78,94.1176,5.8824,0,0,57.4299,54.9587,87.4136,144,924918,2.3634,-2.7402
"2017-12-14 16:34:31",807,1,76.7,22.2,27.25,49.45,0,54.8,51.8,77,0,"A",3,1,1,173,101,1399,"medi","A","Q1",0,0,0,0,0,0,0,0,235.3,1,0,1,28,"A",1,0.1683,0.1898,75.0251,24.1048,0.2399,0.1826,0,0,0,0,0.0716,0,134.5769,93.0811,0,0,0,41.4957,95.5002,180,172.5517,0,100,4.3101,4.6066,76.9839,51.7854,54.7771,0,0,12.5618,57.0183,12.81,146.62,4.81,32.08,100,0,0,0,54.7771,51.7854,76.9839,145,924919,2.8307,-2.5033
"2017-12-14 16:34:31",812,1,129.7,23,53.35,76.35,0,67,63.4,138,0,"A",5,1,1,178,106,1399,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.3,1,0,1,28,"A",1,0.3865,0.1091,69.5952,29.6389,0.0949,0.0071,0.102,0,0,0,0.0522,0,406.6313,195.1754,11.5784,0,0,199.8775,96.4832,180,172.2413,0,94.7021,3.9404,3.5853,138.0436,63.4088,66.985,0,0,2.4773,133.1997,13.1,163.64,4.39,29.395,89.4737,10.5263,0,0,66.985,63.4088,138.0436,150,924924,3.7647,-2.9631
"2017-12-14 16:34:31",813,1,125.6,23.2,51.2,74.4,0,64.9,63.2,130.6,0,"A",5,1,1,179,107,1399,"jumb","A","Q1",0,0,0,0,0,0,0,0,236.2,1,0,1,28,"A",1,0.3151,0.0739,74.2055,24.8443,0.3545,0.0148,0.1699,0,0,0,0.0148,0,409.9319,50.9883,13.75,0,0,345.1937,97.0695,180,173.2934,0,85.2447,5.1873,2.9723,130.5873,63.2273,64.927,0,0,1.7132,101.2728,11.91,171.9,0.13,27.57,94.7368,5.2632,0,0,64.927,63.2273,130.5873,151,924925,4.6419,-4.059
"2017-12-14 16:34:31",816,1,124.1,17.6,53.25,70.85,0,66.1,63.2,131.5,0,"A",5,1,1,182,110,1399,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.5,1,0,1,28,"A",1,0.1873,0.1849,72.7262,25.1122,1.755,0,0,0,0,0,0.0197,0,555.7672,380.9962,1.6799,0,0,173.0909,95.1566,146.858,172.9986,0,100,4.6383,4.9692,131.5121,63.1979,66.1451,0,0,3.3571,107.992,11.995,193.905,7.54,28.22,94.7368,5.2632,0,0,66.1451,63.1979,131.5121,154,924928,3.1952,-1.532
"2017-12-14 16:34:32",821,1,111.1,19.8,45.65,65.45,0,63,60.5,119.8,0,"A",4,1,1,187,115,1399,"larg","A","Q1",0,0,0,0,0,0,0,0,235.7,1,0,1,28,"A",1,0.1676,0.0969,73.0424,26.256,0.3456,0.034,0.0105,0,0,0.0026,0.0314,0,143.8193,38.734,7.4908,0,0,97.5945,96.0325,159.8637,166.6888,0,94.2729,5.2197,4.0482,119.8105,60.4771,63.0184,0,0,2.8069,122.1769,12.555,177.49,7.8,31.145,100,0,0,0,63.0184,60.4771,119.8105,159,924933,3.4203,-1.5298
"2017-12-14 16:34:32",824,1,136.1,32.7,51.7,84.4,0,67,64.1,142,0,"A",5,1,1,190,118,1399,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.2,1,0,1,28,"A",1,0.4225,0.1224,67.6494,31.5726,0.0485,0,0.1755,0,0,0,0,0,202.8315,64.1544,2.7817,0,0,135.8954,97.0958,140.2893,148.4461,0,22.1392,4.8537,2.9501,141.9526,64.0656,66.9807,0,0,1.8858,136.509,12.675,163.62,4.49,29.105,89.4737,10.5263,0,0,66.9807,64.0656,141.9526,162,924936,2.7773,-5.3013
"2017-12-14 16:34:32",825,1,143.3,28.3,57.5,85.8,0,68,65.3,148.6,0,"A",5,1,1,191,119,1399,"jumb","A","Q1",0,0,0,0,0,0,0,0,235.2,1,0,1,28,"A",1,0.3868,0.1207,71.3736,28.0047,0.0581,0.0067,0.0022,0,0,0,0.0358,0,242.0194,50.9052,10.8709,0,0,180.2434,97.0065,142.7268,166.9109,0,89.0263,4.5046,3.0436,148.6236,65.2883,67.9536,0,0,5.5724,93.8424,12.22,199.325,2.5,22.16,70,30,0,0,67.9536,65.2883,148.6236,163,924937,3.6558,-6.488
