Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-12 18:25:58",1134,"P112","Roose","10_17","2017-12-12 10:22:48","2017-12-12 18:25:59","Roose Pro 112 Mandarin ",23,1134,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,IQS 3 avg,IQS 4 avg,Fruit,Rough skin,Ridges,Creases,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-12 18:26:14",780,1,147.1,18.2,64.45,82.65,0,73,72.1,194.6,3,"D",6,4,1,138,256,1134,"mamm","D St","Q1",0,0,0,0,0,0,0,0,229.7,1,0,1,28,"D",1,0,0.0019,0,0.1445,0,0.2364,0.0319,0,0.0544,0.0994,99.4221,0,5739.4424,98.6625,180,180,0,100,4.0405,1.3479,194.6134,72.052,73.0297,0,0,0,0,15.53,11.97,12.9,54.2,100,0,0,0,73.0297,72.052,194.6134,110,366292,4.2632,-2.6558
"2017-12-12 18:26:46",98,1,76.9,14,31.45,45.45,0,58.6,55.3,89.1,2,"C",4,3,1,180,220,1134,"larg","C","Q1",0,0,0,0,0,0,0,0,229.9,1,0,1,28,"C",1,0,0.0097,1.8066,70.0755,8.8877,18.4915,0.2355,0,0.0032,0,0.4775,0,205.3874,93.539,180,180,0,100,10.3055,5.8706,89.1316,55.2582,58.6003,0,0,0,0,13.17,8.835,8.475,36.335,77.7778,22.2222,0,0,58.6003,55.2582,89.1316,152,366590,3.8643,-1.577
"2017-12-12 18:26:48",108,1,105.5,21.3,42.1,63.4,0,65.6,62.5,127.5,2,"C",5,3,1,190,230,1134,"jumb","C","Q1",0,0,0,0,0,0,0,0,230.4,1,0,1,28,"C",1,0,0.0151,1.7037,58.1584,16.9661,22.8346,0.0503,0,0,0,0.2542,0,918.037,93.9079,180,180,0,100,12.3896,4.8486,127.4971,62.5078,65.6138,0,0,0,0,12.03,7.41,4.855,29.75,31.5789,52.6316,0,15.7895,65.6138,62.5078,127.4971,162,366600,1.763,-1.7859
"2017-12-12 18:26:50",131,1,224,115,54.5,169.5,0,0,0,0,2,"C",1,3,1,213,253,1134,"unde","C","Q1",0,0,0,0,0,0,0,0,230.2,1,0,1,28,"C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53,17.57,17.44,43.83,0,0,0,0,0,0,0,185,366623,0,0
"2017-12-12 18:26:50",133,1,144.6,19.2,62.7,81.9,0,74.5,71.6,190.8,2,"C",6,3,1,215,255,1134,"mamm","C","Q1",0,0,0,0,0,0,0,0,230.6,1,0,1,28,"C",1,0,0.019,0.0817,27.2601,13.0401,57.6591,1.7196,0,0,0.0019,0.2071,0,1133.8177,94.4441,180,180,0,93.5161,13.6332,3.9664,190.7882,71.5907,74.4878,0,0,0,0,12.11,8.9,4.015,27.535,0,100,0,0,74.4878,71.5907,190.7882,187,366625,3.6001,-4.1353
"2017-12-12 18:26:52",148,1,105.4,18.9,43.25,62.15,0,64.9,61.9,126.5,2,"C",5,3,1,230,270,1134,"jumb","C","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"C",1,0,0,0.9615,68.086,9.2428,20.8881,0.2972,0,0,0,0.5145,0,471.1897,94.9883,180,180,0,100,12.016,4.7012,126.495,61.9048,64.8851,0,0,0,0,12.085,8.83,6.575,35.245,57.8947,42.1053,0,0,64.8851,61.9048,126.495,202,366640,3.6594,-2.973
"2017-12-12 18:26:52",149,1,84.5,18.7,32.9,51.6,0,59.1,57.1,98,1,"B",4,2,1,231,271,1134,"larg","B","Q1",0,0,0,0,0,0,0,0,230,1,0,1,28,"B",1,0,0.0357,2.386,88.4037,8.2124,0.6255,0.1102,0.003,0,0,0.2085,0,304.7803,96.6656,180,180,0,90.0609,4.3354,3.3918,98.0048,57.0867,59.0564,0,0,0,0,12.56,4.82,3.88,31.035,76.4706,23.5294,0,0,59.0564,57.0867,98.0048,203,366641,4.1839,-1.7941
"2017-12-12 18:26:53",161,1,118.9,8.3,55.3,63.6,0,67.9,64.6,145.7,2,"C",5,3,1,243,283,1134,"jumb","C","Q1",0,0,0,0,0,0,0,0,231.4,1,0,1,28,"C",1,0,0.0181,2.7533,85.4497,11.2685,0.4562,0.0158,0,0,0,0.0248,0,527.0805,95.0606,180,180,0,100,6.7222,5.0659,145.65,64.5912,67.9483,0,0,0,0,12.43,7.225,4.68,32.005,35,60,0,5,67.9483,64.5912,145.65,215,366653,3.9781,-3.5908
"2017-12-12 18:26:53",162,1,93.5,25,34.25,59.25,0,62.1,58.8,109,1,"B",4,2,1,244,284,1134,"larg","B","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"B",1,0,0.0196,0.7299,38.1939,8.5578,51.4724,0.66,0,0,0.0028,0.3468,0,148.1655,94.3426,180,180,0,100,9.6045,5.3944,109.0342,58.8005,62.0604,0,0,0,0,12.175,6.62,4.89,28.82,55.5556,44.4444,0,0,62.0604,58.8005,109.0342,216,366654,5.0803,-3.18
"2017-12-12 18:26:54",169,1,173.5,13.7,79.9,93.6,0,79.1,74.7,209.3,2,"C",7,3,1,251,291,1134,"colo","C","Q1",0,0,0,0,0,0,0,0,230.2,1,0,1,28,"C",1,0,0.0292,2.5434,86.1059,10.8919,0.1736,0.1289,0,0,0.0017,0.1151,0,1392.0812,91.6965,180,180,0,100,16.9035,5.8013,209.2558,74.6809,79.1428,0,0,0,0,12.145,8.215,4.48,22.56,19.0476,80.9524,0,0,79.1428,74.6809,209.2558,223,366661,2.6196,-4.5652
"2017-12-12 18:26:54",170,1,78.6,22.4,28.1,50.5,0,63,53.9,94.1,1,"B",4,2,1,252,292,1134,"larg","B","Q1",0,0,0,0,0,0,0,0,230.2,1,0,1,28,"B",1,0,0.009,0.7203,86.7326,5.0785,6.5463,0.8017,0,0,0,0.0904,0,266.4844,85.6143,180,180,0,100,2.8429,15.5077,94.1208,53.9385,63.0063,0,0,0,0,13.3,6.155,5.28,32.875,100,0,0,0,63.0063,53.9385,94.1208,224,366662,3.2835,-1.8891
"2017-12-12 18:26:55",172,1,95.3,23.3,36,59.3,0,61.9,59.2,107.6,1,"B",4,2,1,254,294,1134,"larg","B","Q1",0,0,0,0,0,0,0,0,231.2,1,0,1,28,"B",1,0,0.0083,2.4772,66.5797,10.0061,20.3288,0.4832,0,0,0,0.0972,0,430.7496,94.2165,180,180,0,61.9072,10.5584,4.5675,107.5803,59.1707,61.9366,0,0,0,0,13.16,6.635,5.23,28.75,88.8889,11.1111,0,0,61.9366,59.1707,107.5803,226,366664,4.6666,-2.1045
"2017-12-12 18:26:55",173,1,101.8,21.2,40.3,61.5,0,64.9,61.6,124.7,2,"C",5,3,1,255,295,1134,"jumb","C","Q1",0,0,0,0,0,0,0,0,231.6,1,0,1,28,"C",1,0,0.0779,2.5519,68.9682,14.3542,13.5631,0.3416,0,0,0.0176,0.113,0,625.5746,95.0586,180,180,0,90.8125,8.9779,5.0699,124.7295,61.6435,64.8501,0,0,0,0,12.675,8.715,6.635,34.085,52.6316,31.5789,0,15.7895,64.8501,61.6435,124.7295,227,366665,4.061,-1.9096
"2017-12-12 18:26:55",175,1,99.9,25.4,37.25,62.65,0,62.9,60.4,117.2,2,"C",4,3,1,1,297,1134,"larg","C","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"C",1,0,0.0106,2.2251,64.3505,15.3901,17.7929,0.0716,0,0,0,0.1406,0,405.1798,95.6657,180,180,0,94.0748,8.4612,4.1582,117.1961,60.3727,62.9365,0,0,0,0,11.945,7.14,5.91,31.605,58.8235,35.2941,0,5.8824,62.9365,60.3727,117.1961,229,366667,4.6329,-1.9726
"2017-12-12 18:26:55",176,1,165.7,24.4,70.65,95.05,0,76.2,73.6,207.8,2,"C",6,3,1,2,298,1134,"mamm","C","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"C",1,0,0.0053,0.7524,51.9766,16.4888,30.5203,0.1664,0,0,0.0035,0.0744,0,1465.4238,95.9584,180,180,0,100,12.2638,3.5163,207.7974,73.5675,76.2007,0,0,0,0,11.435,15.555,8.805,39.185,4.5455,95.4545,0,0,76.2007,73.5675,207.7974,230,366668,3.3682,-1.5964
