Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-11 17:33:23",948,"P112","Roose","09_03","2017-12-11 09:30:32","2017-12-11 17:33:24","Roose Pro 112 Mandarin ",23,948,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,IQS 3 avg,IQS 4 avg,Fruit,Rough skin,Ridges,Creases,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-11 17:33:40",744,1,143.9,28,57.95,85.95,0,73.3,72.2,197,3,"D",6,4,1,146,268,948,"mamm","D St","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"D",1,0,0.0056,0,0.135,0,0.2156,0.0206,0,0.0938,0.5081,99.0156,0,5893.0913,98.4503,180,180,0,100,4.2782,1.5637,197.0319,72.1978,73.3356,0,0,0,0,16.2,11.69,12.69,55.4,91.6667,8.3333,0,0,73.3356,72.1978,197.0319,118,51676,5.2355,-2.1087
"2017-12-11 17:34:57",458,1,143.1,9.2,66.95,76.15,0,75.1,69.3,183.8,1,"B",6,2,1,72,294,948,"mamm","B","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"B",1,0,0.1253,2.9777,84.3041,12.3135,0.2101,0.0617,0,0,0,0.0019,0,2012.8768,92.303,180,180,0,88.4948,12.781,8.1148,183.8404,69.2757,75.135,0,0,0,0,13.1,5.46,3.28,23.435,30.4348,69.5652,0,0,75.135,69.2757,183.8404,44,52370,3.6925,-3.7158
"2017-12-11 17:34:57",464,1,114.9,30.2,42.35,72.55,0,66.8,62.8,132.7,2,"C",5,3,1,78,300,948,"jumb","C","Q1",0,0,0,0,0,0,0,0,230.5,1,0,1,28,"C",1,0,0.0121,0.7294,73.1029,4.9824,20.7651,0.3212,0.0024,0.0024,0.0024,0.0676,0,484.1894,93.2434,180,180,0,100,11.9711,6.1801,132.6824,62.8109,66.8165,0,0,0,0,13.005,9.32,8.375,37.965,83.3333,16.6667,0,0,66.8165,62.8109,132.6824,50,52376,2.6013,-2.8844
"2017-12-11 17:34:57",465,1,111.2,15.1,48.05,63.15,0,67.9,63.8,136.8,1,"B",5,2,1,79,301,948,"jumb","B","Q1",0,0,0,0,0,0,0,0,229.7,1,0,1,28,"B",1,0,0.0887,2.8034,88.3357,8.4245,0.3261,0.0096,0,0,0,0.0024,0,1325.5436,92.1754,180,180,0,100,13.8713,6.3263,136.807,63.7593,67.9247,0,0,0,0,13.845,4.77,2.38,27.105,72.2222,27.7778,0,0,67.9247,63.7593,136.807,51,52377,5.8991,-3.5523
"2017-12-11 17:34:57",466,1,78.4,16.6,30.9,47.5,0,57.6,55.7,91.7,1,"B",4,2,1,80,302,948,"larg","B","Q1",0,0,0,0,0,0,0,0,230.4,1,0,1,28,"B",1,0,0.0319,2.3184,73.6558,6.8212,16.9558,0.1371,0,0,0,0.0574,0,434.5045,96.7819,166.3525,180,0,93.1095,7.3666,3.2725,91.7138,55.7152,57.5688,0,0,0,0,13.655,5.275,4.045,31.395,70.5882,29.4118,0,0,57.5688,55.7152,91.7138,52,52378,4.838,-3.1066
"2017-12-11 17:34:58",467,1,117,19.5,48.75,68.25,0,68.2,64.6,146.1,2,"C",5,3,1,81,303,948,"jumb","C","Q1",0,0,0,0,0,0,0,0,230.1,1,0,1,28,"C",1,0,0.0452,2.0928,68.9757,7.8764,20.8787,0.1175,0,0,0,0,0,1159.4674,94.8493,180,180,0,74.5867,10.0629,5.2847,146.1035,64.6419,68.1508,0,0,0,0,12.345,9.21,5.15,34.48,30,60,0,10,68.1508,64.6419,146.1035,53,52379,3.9947,-4.0892
"2017-12-11 17:34:58",471,1,112.5,17.2,47.65,64.85,0,67,63.8,128.8,1,"B",5,2,1,85,307,948,"jumb","B","Q1",0,0,0,0,0,0,0,0,229.9,1,0,1,28,"B",1,0,0.0786,2.3863,92.117,5.0328,0.1473,0.1645,0,0,0.0074,0.054,0,565.906,92.1363,180,180,0,93.6681,17.5015,4.9182,128.8058,63.8219,67.0399,0,0,0,0,12.695,6.395,3.775,26.855,80.9524,14.2857,0,4.7619,67.0399,63.8219,128.8058,57,52383,4.1791,-3.8374
"2017-12-11 17:34:58",474,1,147.8,9.5,69.15,78.65,0,73.7,70.4,182,2,"C",6,3,1,88,310,948,"mamm","C","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"C",1,0,0.0524,2.3368,78.2373,7.0472,12.14,0.165,0,0,0,0.0116,0,926.9297,94.6336,180,180,0,100,11.3006,4.5365,181.9694,70.3975,73.6652,0,0,0,0,11.92,8.19,2.875,29.4,33.3333,66.6667,0,0,73.6652,70.3975,181.9694,60,52386,4.3288,-2.0967
"2017-12-11 17:34:59",476,1,64.1,24.4,19.85,44.25,0,53.8,51.7,71,1,"B",3,2,1,90,312,948,"medi","B","Q1",0,0,0,0,0,0,0,0,229.7,1,0,1,28,"B",1,0,0.0789,2.5354,90.7148,4.8567,1.1869,0.3456,0,0,0,0.2667,0,342.8023,94.8222,180,180,0,86.894,10.0642,4.0844,71.0481,51.6899,53.8452,0,0,0,0,12.51,5.405,5.05,29.895,94.1176,5.8824,0,0,53.8452,51.6899,71.0481,62,52388,6.2896,-1.1193
"2017-12-11 17:34:59",477,1,131.4,27.2,52.1,79.3,0,72,67.5,161.3,2,"C",6,3,1,91,313,948,"mamm","C","Q1",0,0,0,0,0,0,0,0,231.4,1,0,1,28,"C",1,0,0.0249,1.0905,75.2435,6.9457,16.4607,0.2202,0,0,0,0.0042,0,868.5511,92.2716,180,180,0,95.3091,13.9192,6.4609,161.3328,67.4712,71.9759,0,0,0,0,12.765,9.975,7.44,35.08,47.619,52.381,0,0,71.9759,67.4712,161.3328,63,52389,4.674,-2.1972
"2017-12-11 17:34:59",483,1,109.3,14.7,47.3,62,0,65.1,63,127.4,1,"B",5,2,1,97,319,948,"jumb","B","Q1",0,0,0,0,0,0,0,0,231.6,1,0,1,28,"B",1,0,0.055,2.3196,92.0654,4.7493,0.5705,0.0751,0,0,0,0.1526,0,515.7416,94.8224,180,180,0,100,15.8998,3.1697,127.4306,63.0435,65.074,0,0,0,0,11.5,6.73,4.74,28.08,63.1579,31.5789,0,5.2632,65.074,63.0435,127.4306,69,52395,4.6676,-2.499
"2017-12-11 17:34:59",484,1,106.9,15.8,45.55,61.35,0,67.5,60.2,122,1,"B",5,2,1,98,320,948,"jumb","B","Q1",0,0,0,0,0,0,0,0,230.1,1,0,1,28,"B",1,0,0.0332,1.1305,89.3071,5.349,3.9454,0.1991,0,0,0.0026,0.0179,0,427.5284,87.7598,180,180,0,100,13.8657,11.4188,122.0071,60.1841,67.4726,0,0,0,0,12.925,4.795,2.91,31.29,55.5556,44.4444,0,0,67.4726,60.1841,122.0071,70,52396,6.4331,-2.5137
"2017-12-11 17:35:00",485,1,147.9,12.2,67.85,80.05,0,77.8,73.3,209.8,2,"C",7,3,1,99,321,948,"colo","C","Q1",0,0,0,0,0,0,0,0,229.9,1,0,1,28,"C",1,0,0.0035,0.066,26.4262,6.0802,63.5154,3.8826,0,0,0.0052,0.0156,0,2442.8884,93.6017,180,180,0,87.234,12.8618,5.9627,209.7965,73.2901,77.7944,0,0,0,0,11.865,20.975,14.925,37.055,18.1818,72.7273,0,9.0909,77.7944,73.2901,209.7965,71,52397,5.7051,-2.7524
"2017-12-11 17:35:00",487,1,129.4,20.3,54.55,74.85,0,69.4,66.3,151.7,1,"B",5,2,1,101,323,948,"jumb","B","Q1",0,0,0,0,0,0,0,0,229.5,1,0,1,28,"B",1,0,0.0327,1.5733,80.6128,6.8946,10.7102,0.1569,0,0,0,0.0065,0,698.574,94.6197,180,180,0,100,10.6358,4.5722,151.7042,66.302,69.4044,0,0,0,0,12.11,6.98,4.04,29.93,60,25,0,15,69.4044,66.302,151.7042,73,52399,5.7973,-3.6168
"2017-12-11 17:35:00",488,1,130.3,25,52.65,77.65,0,72.8,69,162.6,2,"C",6,3,1,102,324,948,"mamm","C","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"C",1,0,0.129,2.4749,89.0586,7.3919,0.8823,0.0061,0,0.0041,0.0123,0.0287,0,982.8882,92.1659,180,180,0,100,19.4771,5.381,162.6039,69.0314,72.8486,0,0,0,0,11.75,9.675,4.68,32.035,52.381,42.8571,0,4.7619,72.8486,69.0314,162.6039,74,52400,4.4555,-6.0115
"2017-12-11 17:35:00",491,1,153,16.5,68.25,84.75,0,74.1,71.6,185.1,1,"B",6,2,1,105,327,948,"mamm","B","Q1",0,0,0,0,0,0,0,0,230.9,1,0,1,28,"B",1,0,0.0693,1.9076,84.5739,8.4079,4.9932,0.0231,0,0,0.0019,0.0135,0,1388.2483,94.8608,180,180,0,100,14.838,3.4315,185.0759,71.5532,74.0515,0,0,0,0,14.3,5.56,5.29,31.33,50,40.9091,4.5455,4.5455,74.0515,71.5532,185.0759,77,52403,3.9325,-3.8742
"2017-12-11 17:35:00",493,1,205.2,28.8,88.2,117,0,85.3,79.6,274.1,0,"A",8,1,1,107,329,948,"supe","A","Q1",0,0,0,0,0,0,0,0,231.8,1,0,1,28,"A",1,0,0.0443,1.1603,79.18,13.0402,5.5937,0.9081,0.0015,0,0.0092,0.052,0,1926.9523,93.307,180,180,0,75.5078,7.2853,6.9242,274.0945,79.5899,85.2985,0,0,0,0,12.25,3.26,2.67,30.03,0,95.6522,0,4.3478,85.2985,79.5899,274.0945,79,52405,3.5311,0.5614
"2017-12-11 17:35:01",496,1,96.1,17.7,39.2,56.9,0,65.3,59.5,114,1,"B",5,2,1,110,332,948,"jumb","B","Q1",0,0,0,0,0,0,0,0,230.8,1,0,1,28,"B",1,0,0.0514,2.6496,90.1668,6.5374,0.5732,0.0081,0,0,0,0,0,910.8249,89.3194,180,180,0,100,15.683,9.3197,113.9805,59.4966,65.3126,0,0,0,0,13.065,6.655,5.02,31.25,66.6667,27.7778,0,5.5556,65.3126,59.4966,113.9805,82,52408,2.7831,-0.9846
"2017-12-11 17:35:01",498,1,117.8,27.5,45.15,72.65,0,68.6,65.1,147.8,2,"C",5,3,1,112,0,948,"jumb","C","Q1",0,0,0,0,0,0,0,0,231.3,1,0,1,28,"C",1,0,0.0113,1.1335,80.8766,6.053,11.7273,0.1668,0,0,0,0.0203,0,622.3727,94.361,180,180,0,100,8.4668,5.2533,147.8259,65.0563,68.5661,0,0,0,0,11.85,10.905,8.085,35.645,10.5263,78.9474,0,10.5263,68.5661,65.0563,147.8259,84,52410,4.7379,-3.4159
"2017-12-11 17:35:01",499,1,54.3,12,21.15,33.15,0,51.6,47.9,60.1,1,"B",3,2,1,113,1,948,"medi","B","Q1",0,0,0,0,0,0,0,0,231.1,1,0,1,28,"B",1,0,0.0168,0.4027,42.6318,4.5514,50.9879,1.0068,0,0,0.0126,0.3649,0,135.6577,92.4509,180,180,0,77.2643,9.6509,7.5745,60.1332,47.8688,51.6373,0,0,0,0,11.935,5.43,5.345,36.71,87.5,12.5,0,0,51.6373,47.8688,60.1332,85,52411,4.0021,-2.4184
"2017-12-11 17:35:01",500,1,172.9,6.8,83.05,89.85,0,80.7,75.3,219.3,2,"C",7,3,1,114,2,948,"colo","C","Q1",0,0,0,0,0,0,0,0,231.7,1,0,1,28,"C",1,0,0.0334,1.034,56.0249,7.36,35.3241,0.1968,0,0,0.0017,0.0133,0,2535.4939,91.4121,180,180,0,100,17.3658,6.9803,219.3434,75.2608,80.7043,0,0,0,0,11.51,19.255,11.565,33.29,0,86.3636,0,13.6364,80.7043,75.2608,219.3434,86,52412,2.8898,-0.4561
