Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-12 16:27:32",1089,"P112","Roose","16_08","2017-12-12 08:25:03","2017-12-12 16:27:33","Roose Pro 112 Mandarin ",23,1089,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,IQS 3 avg,IQS 4 avg,Fruit,Rough skin,Ridges,Creases,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-12 16:27:48",938,1,144.7,29,57.85,86.85,0,73.4,72.3,197.2,3,"D",6,4,1,128,196,1089,"mamm","D St","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"D",1,0,0,0,0.0297,0.0019,0.0723,0.0148,0,0.026,0.0779,99.77,0,8732.7285,98.4251,180,180,0,100,3.9783,1.5886,197.2436,72.2794,73.4369,0,0,0,0,15.09,11.45,12.39,52.52,100,0,0,0,73.4369,72.2794,197.2436,100,301770,3.0388,-2.6379
"2017-12-12 16:28:32",358,1,131,35.4,47.8,83.2,0,69.5,66.8,150.4,2,"C",5,3,1,16,262,1089,"jumb","C","Q1",0,0,0,0,0,0,0,0,229.6,1,0,1,28,"C",1,0,0.0919,4.1036,73.8122,21.7801,0.1684,0.0066,0,0.0044,0.0153,0.0044,0,1121.8806,94.3131,180,180,0,100,14.2573,3.8901,150.3937,66.8372,69.4888,0,0,0,0,12.695,8.62,5.595,29.205,55,45,0,0,69.4888,66.8372,150.3937,244,302170,3.9943,-2.6746
"2017-12-12 16:28:35",390,1,102.7,17.8,42.45,60.25,0,63.9,61.4,120,2,"C",5,3,1,48,294,1089,"jumb","C","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"C",1,0,0.0103,0.2715,33.0429,10.2818,48.3351,7.9964,0.0026,0,0,0.0414,0,963.1048,95.0916,180,180,0,94.3942,9.6446,4.0654,119.9666,61.3604,63.9067,0,0,0,0,11.955,10.46,9.03,39.27,61.1111,38.8889,0,0,63.9067,61.3604,119.9666,20,302202,4.3779,-2.0008
"2017-12-12 16:28:36",395,1,85.7,18.4,33.65,52.05,0,60.5,57.8,97,2,"C",4,3,1,53,299,1089,"larg","C","Q1",0,0,0,0,0,0,0,0,230.1,1,0,1,28,"C",1,0,0.1211,3.9025,83.9752,11.6742,0.2513,0.0606,0,0,0,0,0,570.4299,92.9047,180,180,0,100,15.6477,4.6963,97.0094,57.7613,60.5391,0,0,0,0,12.825,7.255,6.515,30.835,88.8889,0,0,11.1111,60.5391,57.7613,97.0094,25,302207,1.0966,-2.7925
"2017-12-12 16:28:36",396,1,64.7,18.8,22.95,41.75,0,54.4,50.7,70.8,1,"B",3,2,1,54,300,1089,"medi","B","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"B",1,0,0.1015,3.2584,86.023,9.8279,0.1428,0.1992,0.0075,0,0,0.4172,0,400.5243,92.4797,180,180,0,92.0382,12.399,7.0862,70.7589,50.6531,54.3743,0,0,0,0,12.785,4.62,4.17,31.74,87.5,12.5,0,0,54.3743,50.6531,70.7589,26,302208,1.6972,-2.6755
"2017-12-12 16:28:36",399,1,36.2,10.2,13,23.2,0,0,0,0,0,"A",1,1,1,57,303,1089,"unde","A","Q1",0,0,0,0,0,0,0,0,229.4,1,0,1,28,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,1.61,1.71,37.11,0,0,0,0,0,0,0,29,302211,0,0
"2017-12-12 16:28:36",400,1,109.4,22,43.7,65.7,0,66,63.1,129.4,2,"C",5,3,1,58,304,1089,"jumb","C","Q1",0,0,0,0,0,0,0,0,229.2,1,0,1,28,"C",1,0,0.0222,0.955,67.8588,11.7754,18.6059,0.2831,0,0,0.0222,0.4554,0,952.3419,94.8829,180,180,0,100,13.9391,4.4818,129.3826,63.0811,65.973,0,0,0,0,12.075,15.36,13.015,40.11,16.6667,83.3333,0,0,65.973,63.0811,129.3826,30,302212,5.4778,-2.8219
"2017-12-12 16:28:37",405,1,83.4,24.8,29.3,54.1,0,60.5,56.3,95.1,1,"B",4,2,1,63,309,1089,"larg","B","Q1",0,0,0,0,0,0,0,0,229.6,1,0,1,28,"B",1,0,0.1004,3.4895,86.6748,9.0904,0.4533,0.1552,0.0122,0,0,0.0091,0,357.019,90.7774,180,180,0,93.8775,17.9166,7.2871,95.098,56.2789,60.535,0,0,0,0,12.255,6.72,5.975,31.535,72.2222,16.6667,0,11.1111,60.535,56.2789,95.098,35,302217,6.1147,-2.6369
"2017-12-12 16:28:38",411,1,137.3,25.3,56,81.3,0,72.3,68.2,174.1,2,"C",6,3,1,69,315,1089,"mamm","C","Q1",0,0,0,0,0,0,0,0,229.6,1,0,1,28,"C",1,0,0.0341,2.4843,91.8974,5.2533,0.1404,0.012,0,0,0.008,0.1604,0,1002.6099,94.3147,180,180,0,94.0176,6.863,5.8516,174.0673,68.2227,72.3351,0,0,0,0,10.84,11.77,7.635,39.28,45.4545,45.4545,0,9.0909,72.3351,68.2227,174.0673,41,302223,3.8341,-3.1466
"2017-12-12 16:28:38",415,1,111.1,19.2,45.95,65.15,0,66.1,62.1,127.5,1,"B",5,2,1,73,319,1089,"jumb","B","Q1",0,0,0,0,0,0,0,0,231.3,1,0,1,28,"B",1,0,0.0402,3.1703,87.4416,8.763,0.2585,0.1431,0,0,0.0025,0.1682,0,409.8825,93.0011,180,180,0,100,10.9042,6.1639,127.5149,62.1302,66.0816,0,0,0,0,12.335,6.665,4.275,30.345,90,10,0,0,66.0816,62.1302,127.5149,45,302227,4.8879,-4.169
