Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-12 16:50:10",1100,"P112","Roose","11_06","2017-12-12 08:48:00","2017-12-12 16:50:11","Roose Pro 112 Mandarin ",23,1100,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,IQS 3 avg,IQS 4 avg,Fruit,Rough skin,Ridges,Creases,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-12 16:50:25",517,1,146,31.4,57.3,88.7,0,73.4,72.1,197,3,"D",6,4,1,159,157,1100,"mamm","D St","Q1",0,0,0,0,0,0,0,0,230.4,1,0,1,28,"D",1,0,0.0019,0,0.0445,0,0.1704,0.0333,0,0.0296,0.013,99.6981,0,7341.9692,98.319,180,180,0,100,3.7233,1.6965,196.9809,72.1482,73.3827,0,0,0,0,16.07,12.18,13.14,56.04,82.6087,17.3913,0,0,73.3827,72.1482,196.9809,131,314089,3.5388,-1.7332
"2017-12-12 16:50:47",719,1,90.8,22.1,34.35,56.45,0,61,57.9,107.9,2,"C",4,3,1,105,25,1100,"larg","C","Q1",0,0,0,0,0,0,0,0,229.7,1,0,1,28,"C",1,0,0.1879,4.5575,75.6719,19.1665,0.1358,0.1618,0.0434,0,0,0.0636,0,461.8974,94.8345,172.4321,180,0,93.3189,6.7751,5.3148,107.8991,57.8766,61.0366,0,0,0,0,12.12,7.05,5.145,27.835,100,0,0,0,61.0366,57.8766,107.8991,77,314291,5.9485,-0.6493
"2017-12-12 16:50:48",725,1,97.5,28.4,34.55,62.95,0,63.3,59.1,113.7,1,"B",4,2,1,111,31,1100,"larg","B","Q1",0,0,0,0,0,0,0,0,229.7,1,0,1,28,"B",1,0,0.1794,4.2996,80.2929,14.9175,0.0509,0.2061,0,0,0,0.0402,0,494.6614,93.3766,158.3933,180,0,100,5.9347,6.847,113.7239,59.094,63.2836,0,0,0,0,11.38,6.915,4.49,26.44,94.4444,5.5556,0,0,63.2836,59.094,113.7239,83,314297,4.4729,-3.0958
"2017-12-12 16:50:48",728,1,102.7,22.4,40.15,62.55,0,64.3,61.8,126.2,2,"C",5,3,1,114,34,1100,"jumb","C","Q1",0,0,0,0,0,0,0,0,229.9,1,0,1,28,"C",1,0,0.2022,3.8694,76.8186,16.6658,1.8972,0.4943,0.0025,0,0,0.0325,0,822.8619,96.1626,176.724,180,0,100,6.4757,3.9088,126.2282,61.8275,64.2923,0,0,0,0,11.1,8.18,5.255,26.56,77.7778,22.2222,0,0,64.2923,61.8275,126.2282,86,314300,4.8907,-3.6017
"2017-12-12 16:50:48",730,1,131.5,24.4,53.55,77.95,0,71.3,69.5,173.2,2,"C",6,3,1,116,36,1100,"mamm","C","Q1",0,0,0,0,0,0,0,0,230.1,1,0,1,28,"C",1,0,0.0626,3.7148,56.0538,39.1997,0.5794,0.3452,0,0,0.0081,0.0262,0,1275.5118,96.4424,180,180,0,100,12.7911,2.5508,173.2222,69.503,71.2988,0,0,0,0,11.6,18.88,12.91,28.33,35,55,0,10,71.2988,69.503,173.2222,88,314302,2.7972,-3.9432
"2017-12-12 16:50:48",731,1,78.3,21.4,28.45,49.85,0,56.8,54.4,87,1,"B",3,2,1,117,37,1100,"medi","B","Q1",0,0,0,0,0,0,0,0,229.5,1,0,1,28,"B",1,0,0.2238,5.4307,72.6097,21.4627,0.181,0.0724,0,0,0,0,0,859.1096,95.8819,172.7015,180,0,93.2456,3.7236,4.2082,87.0177,54.4431,56.7834,0,0,0,0,12.33,5.84,5.715,27.015,77.7778,22.2222,0,0,56.7834,54.4431,87.0177,89,314303,3.9475,-3.7147
"2017-12-12 16:50:49",732,1,107,11.7,47.65,59.35,0,66,63.6,136.3,2,"C",5,3,1,118,38,1100,"jumb","C","Q1",0,0,0,0,0,0,0,0,229.5,1,0,1,28,"C",1,0,0.0812,4.2719,61.1898,33.5229,0.2389,0.6546,0,0,0,0.0263,0,879.4956,96.35,180,180,0,87.7505,6.7392,3.7173,136.2818,63.5873,65.9958,0,0,0,0,12.275,9.535,7.455,29.475,83.3333,11.1111,5.5556,0,65.9958,63.5873,136.2818,90,314304,5.887,-1.8386
"2017-12-12 16:50:49",733,1,77.5,20.9,28.3,49.2,0,57.4,55.3,91.1,1,"B",4,2,1,119,39,1100,"larg","B","Q1",0,0,0,0,0,0,0,0,229.8,1,0,1,28,"B",1,0,0.0907,4.1682,74.7061,20.5687,0.2915,0.1587,0.0032,0,0,0,0,479.9704,96.3377,170.5922,180,0,100,6.0482,3.7333,91.084,55.3022,57.4061,0,0,0,0,12.02,5.14,4.01,27.16,100,0,0,0,57.4061,55.3022,91.084,91,314305,5.2256,-1.5541
"2017-12-12 16:50:49",734,1,77.1,15.8,30.65,46.45,0,58.8,53.6,86.9,1,"B",4,2,1,120,40,1100,"larg","B","Q1",0,0,0,0,0,0,0,0,231.9,1,0,1,28,"B",1,0,0.1777,3.6195,84.7027,11.2632,0.0559,0.1217,0,0,0,0.0395,0,208.4383,91.146,180,180,0,93.7328,4.5097,9.2695,86.8676,53.6258,58.8383,0,0,0,0,12.01,5.465,4.785,30.045,93.75,6.25,0,0,58.8383,53.6258,86.8676,92,314306,5.7262,-3.4448
"2017-12-12 16:50:49",736,1,76.2,21.7,27.25,48.95,0,57.4,55,88.5,1,"B",4,2,1,122,42,1100,"larg","B","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"B",1,0,0.0938,2.8757,54.878,19.0237,22.1518,0.9381,0.0032,0,0,0.0162,0,289.8895,95.8251,180,180,0,92.6113,6.3769,4.2632,88.4552,55.0427,57.4404,0,0,0,0,12.03,6.44,5.73,27.735,62.5,37.5,0,0,57.4404,55.0427,88.4552,94,314308,3.5481,-3.1905
